"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE ALCAMPELL","ce.codcentro":"22010517","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE ALCUBIERRE","ce.codcentro":"22010682","filtros":"0;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE ALTORRICÓN","ce.codcentro":"22005819","filtros":"1;1;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE BALLOBAR","ce.codcentro":"22010566","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE BARBASTRO","ce.codcentro":"22010487","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE BELVER DE CINCA","ce.codcentro":"22010426","filtros":"0;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE BIESCAS","ce.codcentro":"22010268","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE BROTO","ce.codcentro":"22010827","filtros":"0;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE CANAL DE BERDÚN","ce.codcentro":"22010591","filtros":"0;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE ESTADILLA","ce.codcentro":"22011017","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE FONZ","ce.codcentro":"22010554","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE FRULA","ce.codcentro":"22010621","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE GRAÑÉN","ce.codcentro":"22010669","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE GURREA DE GÁLLEGO","ce.codcentro":"22010438","filtros":"0;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE JACA","ce.codcentro":"22010207","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE LA COMARCA DE SOBRARBE","ce.codcentro":"22010724","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE LALUEZA","ce.codcentro":"22010633","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE LANAJA","ce.codcentro":"22010657","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE NUENO","ce.codcentro":"22010475","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE PEÑALBA","ce.codcentro":"22010761","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE PERALTA DE ALCOFEA","ce.codcentro":"22010499","filtros":"1;0;0","naturaleza":"Público"
"cod_enseñanza_agrupada":"INFANTIL"-n-"provincia":"Huesca"-n-"nombrecentro":"DE PUENTE LA REINA DE JACA","ce.codcentro":"22010505","filtros":"1;0;0","naturaleza":"Público"
