"provincia":"Huesca"-n-"codciclo":"IMP203","nombreciclo":"Peluqueria y Cosmetica Capilar","grado":"GMedio"
"provincia":"Huesca"-n-"codciclo":"IMP303","nombreciclo":"Estilismo y direccion de peluqueria","grado":"GSuperior"
"provincia":"Huesca"-n-"codciclo":"IMS202","nombreciclo":"Video, disc-jockey y sonido","grado":"GMedio"
"provincia":"Huesca"-n-"codciclo":"IMS304","nombreciclo":"Sonido para Audiovisuales y espectaculos","grado":"GSuperior"
"provincia":"Huesca"-n-"codciclo":"INA201","nombreciclo":"Elaboracion de Productos Alimenticios","grado":"GMedio"
"provincia":"Huesca"-n-"codciclo":"INA207","nombreciclo":"Panaderia, Reposteria y Confiteria","grado":"GMedio"
"provincia":"Huesca"-n-"codciclo":"QUI201","nombreciclo":"Operaciones de Laboratorio","grado":"GMedio"
"provincia":"Huesca"-n-"codciclo":"QUI204","nombreciclo":"Planta Quimica","grado":"GMedio"
"provincia":"Huesca"-n-"codciclo":"QUI301","nombreciclo":"Laboratorio de Analisis y de Control de Calidad","grado":"GSuperior"
"provincia":"Huesca"-n-"codciclo":"SAN201","nombreciclo":"Cuidados Auxiliares de Enfermeria","grado":"GMedio"
"provincia":"Huesca"-n-"codciclo":"SAN303","nombreciclo":"Tecnico Superior en Documentacion y Administracion Sanitarias","grado":"GSuperior"
"provincia":"Huesca"-n-"codciclo":"SAN304","nombreciclo":"Tecnico Superior en Higiene Bucodental","grado":"GSuperior"
"provincia":"Huesca"-n-"codciclo":"SEA301","nombreciclo":"Educacion y Control Ambiental","grado":"GSuperior"
"provincia":"Huesca"-n-"codciclo":"SSC201","nombreciclo":"Atencion a Personas en situacion de Dependencia","grado":"GMedio"
"provincia":"Huesca"-n-"codciclo":"SSC301","nombreciclo":"Animacion sociocultural y turistica","grado":"GSuperior"
"provincia":"Huesca"-n-"codciclo":"SSC302","nombreciclo":"Educacion Infantil (Formacion Profesional)","grado":"GSuperior"
"provincia":"Huesca"-n-"codciclo":"TMV201","nombreciclo":"Carroceria","grado":"GMedio"
"provincia":"Huesca"-n-"codciclo":"TMV202","nombreciclo":"Electromecanica de Vehiculos Automoviles","grado":"GMedio"
"provincia":"Huesca"-n-"codciclo":"TMV301","nombreciclo":"Automocion","grado":"GSuperior"
"provincia":"Teruel"-n-"codciclo":"ADG201","nombreciclo":"Gestion Administrativa","grado":"GMedio"
"provincia":"Teruel"-n-"codciclo":"ADG301","nombreciclo":"Administracion y Finanzas","grado":"GSuperior"
"provincia":"Teruel"-n-"codciclo":"ADG302","nombreciclo":"Asistencia a la direccion","grado":"GSuperior"
"provincia":"Teruel"-n-"codciclo":"AFD201","nombreciclo":"Conduccion de Actividades Fisico-Deportivas en el Medio Natural","grado":"GMedio"
"provincia":"Teruel"-n-"codciclo":"AFD301","nombreciclo":"Animacion de Actividades Fisicas y Deportivas","grado":"GSuperior"
"provincia":"Teruel"-n-"codciclo":"AFD301","nombreciclo":"Enseñanza y animacion sociodeportiva","grado":"GSuperior"
"provincia":"Teruel"-n-"codciclo":"AFD302","nombreciclo":"Acondicionamiento fisico","grado":"GSuperior"
"provincia":"Teruel"-n-"codciclo":"AGA201","nombreciclo":"Produccion Agropecuaria","grado":"GMedio"
"provincia":"Teruel"-n-"codciclo":"AGA205","nombreciclo":"Aprovechamiento y Conservacion del Medio Natural","grado":"GMedio"
"provincia":"Teruel"-n-"codciclo":"AGA302","nombreciclo":"Gestion Forestal y del Medio Natural","grado":"GSuperior"
"provincia":"Teruel"-n-"codciclo":"COM303","nombreciclo":"Transporte y Logistica","grado":"GSuperior"
"provincia":"Teruel"-n-"codciclo":"ELE202","nombreciclo":"Instalaciones Electricas y Automaticas","grado":"GMedio"
"provincia":"Teruel"-n-"codciclo":"ELE302","nombreciclo":"Sistemas Electrotecnicos y Automatizados","grado":"GSuperior"
"provincia":"Teruel"-n-"codciclo":"ELE303","nombreciclo":"Automatizacion y Robotica Industrial","grado":"GSuperior"
