"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE SALLENT DE GÁLLEGO","direccion_centro":"Paseo Gigante Aragonés, 34 bis"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE SARIÑENA","direccion_centro":"CTRA. DE FRAGA, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE SENA","direccion_centro":"AVDA. de Huesca 14"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE SODETO","direccion_centro":"CL. GUITARRICO, 5, B"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE TORRENTE DE CINCA","direccion_centro":"CL. ARRABAL DEL NORTE, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"DE VILLANÚA","direccion_centro":"CL. FACI ABAD, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"EL PARQUE","direccion_centro":"Cl. Valentín Carderera, 6"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"EL PÍ","direccion_centro":"CL. MIGUEL FLETA, 3"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"EL TAMARINDO","direccion_centro":"CL. SAN MIGUEL, 11"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"FRANCISCO GALIAY SARAÑANA","direccion_centro":"Cl. Barrio Nuevo, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"GUARDERIA INFANTIL DE LASPUÑA","direccion_centro":"C/CANTONADA, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"JOAQUÍN COSTA","direccion_centro":"Avda. Goya, 2"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"JOAQUÍN COSTA","direccion_centro":"Cl. Angel Samblancat, 10"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"JOSÉ MANUEL BLECUA","direccion_centro":"Avda. Autonomía De Aragón, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"JUAN XXIII","direccion_centro":"Cl. Fraga, 1"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"KATIA ACÍN","direccion_centro":"C/ Olriols, s/n"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"LA CANALLA","direccion_centro":"NUEVO VIAL DE LA U.A. 3"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"LA CANTERA","direccion_centro":"CL. LA ALEGRÍA, 6"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"LA CASITA BLANCA","direccion_centro":"PZA. DEL PILAR, 1"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"LA COMETA","direccion_centro":"Pza. Escuelas, 9"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"LA FONTANETA","direccion_centro":"CL. PROGRESO, 4"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"LA FUEVA","direccion_centro":"Cl. La Fuente, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"LA LAGUNA","direccion_centro":"PZA. MAYORAL ANTONIO SUSÍN, 3-4"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"LA MAINADA","direccion_centro":"AVDA. LUCHÓN, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"LA MAINADA","direccion_centro":"CL. Constitución, 2"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"LA MERCED","direccion_centro":"Cl. Beato Florentino Asensio, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"LAS PAJARITAS","direccion_centro":"CL. FUENTE DEL IBÓN, Nº 7"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"LITERA","direccion_centro":"Ctra. Nacional, Km.442"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"LO NIU","direccion_centro":"Cl. Lorenzo Barea, 4"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"LOS ARAÑONES","direccion_centro":"Pza. De Las Escuelas S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"LUPITA","direccion_centro":"CL. Mediodia s/n"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"MARÍA MOLINER","direccion_centro":"C/ Valle de Pineta s/n"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"MIGUEL SERVET","direccion_centro":"Cl. El Salvador, 5"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"MIGUEL SERVET","direccion_centro":"Cl. Única, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"MIGUEL SERVET","direccion_centro":"Pza. Valencia, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"MONTANUY","direccion_centro":"Ctra. Nacional 260, Km 354,5"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"MONTE OROEL","direccion_centro":"AVDA. JUAN XXIII, 48"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"MONTECORONA","direccion_centro":"Cl. Ciudad De Billère, 18"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"MONZÓN III","direccion_centro":"Avda. Del Pueyo, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"NININS","direccion_centro":"CL. GAITEROS DE CASERRAS, 2"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"NINONES","direccion_centro":"CL. SAMPER, 1"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"PEDRO I","direccion_centro":"CL. Luis Buñuel, 7"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"PEDRO J. RUBIO","direccion_centro":"Cl. Los Olivos, 2"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"PÍO XII","direccion_centro":"Cl. PÍO XII, 1"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"PIRINEOS-PYRÉNÉES","direccion_centro":"CL. CORONA DE ARAGÓN, 2"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"PUENTE SARDAS","direccion_centro":"Cl. Derechos Humanos, 3"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"RAMÓN J. SENDER","direccion_centro":"Cl. Extramuros, S/N"-n-"provincia":"Huesca"
"naturaleza":"Centro público","provincia":"Huesca","nombre_centro":"SAN GINÉS","direccion_centro":"Cl. Única, S/N"-n-"provincia":"Huesca"
