Enseñanza;Cód. Modalidad;Modalidad;Curso;Turno;Cód. RCD Centro;Nº Matriculados;Localidad;Sexo;Provincia
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50007728;1;Zaragoza;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;22003239;1;Monzón;M;Huesca
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50010168;1;Zaragoza;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50018829;1;Zaragoza;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;44003211;1;Teruel;M;Teruel
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50007716;1;Zaragoza;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50007017;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50010533;1;Almunia de Doña Godina (La);H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50006529;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50011070;1;Pedrola;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50008654;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50006529;1;Zaragoza;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50005793;1;Zaragoza;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50007856;1;Zaragoza;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50006529;1;Zaragoza;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50010168;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50006529;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50007728;1;Zaragoza;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50011525;1;Zaragoza;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;44004550;1;Utrillas;M;Teruel
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50011513;1;Tarazona;M;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;44003211;1;Teruel;M;Teruel
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50001179;1;Calatayud;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50011525;1;Zaragoza;H;Zaragoza
Ciclos Formativos de Formación Profesional de Grado Medio;ADG201;Gestión Administrativa;1;Diurno;50001179;1;Calatayud;H;Zaragoza
