Comunidades;Edad (año a año);Españoles/Extranjeros;Sexo;Año;Total
ARAGÓN;26 años;Extranjeros;Ambos sexos;2019;2.607
ARAGÓN;27 años;TOTAL;Ambos sexos;2019;13.137
ARAGÓN;27 años;Españoles;Ambos sexos;2019;10.377
ARAGÓN;27 años;Extranjeros;Ambos sexos;2019;2.760
ARAGÓN;28 años;TOTAL;Ambos sexos;2019;13.240
ARAGÓN;28 años;Españoles;Ambos sexos;2019;10.361
ARAGÓN;28 años;Extranjeros;Ambos sexos;2019;2.879
ARAGÓN;29 años;TOTAL;Ambos sexos;2019;13.933
ARAGÓN;29 años;Españoles;Ambos sexos;2019;10.812
ARAGÓN;29 años;Extranjeros;Ambos sexos;2019;3.121
ARAGÓN;30 años;TOTAL;Ambos sexos;2019;14.334
ARAGÓN;30 años;Españoles;Ambos sexos;2019;11.105
ARAGÓN;30 años;Extranjeros;Ambos sexos;2019;3.229
ARAGÓN;31 años;TOTAL;Ambos sexos;2019;14.505
ARAGÓN;31 años;Españoles;Ambos sexos;2019;11.137
ARAGÓN;31 años;Extranjeros;Ambos sexos;2019;3.368
ARAGÓN;32 años;TOTAL;Ambos sexos;2019;15.081
ARAGÓN;32 años;Españoles;Ambos sexos;2019;11.584
ARAGÓN;32 años;Extranjeros;Ambos sexos;2019;3.497
ARAGÓN;33 años;TOTAL;Ambos sexos;2019;15.597
ARAGÓN;33 años;Españoles;Ambos sexos;2019;12.091
ARAGÓN;33 años;Extranjeros;Ambos sexos;2019;3.506
ARAGÓN;34 años;TOTAL;Ambos sexos;2019;16.072
ARAGÓN;34 años;Españoles;Ambos sexos;2019;12.438
ARAGÓN;34 años;Extranjeros;Ambos sexos;2019;3.634
ARAGÓN;35 años;TOTAL;Ambos sexos;2019;16.295
ARAGÓN;35 años;Españoles;Ambos sexos;2019;12.721
ARAGÓN;35 años;Extranjeros;Ambos sexos;2019;3.574
ARAGÓN;36 años;TOTAL;Ambos sexos;2019;17.374
ARAGÓN;36 años;Españoles;Ambos sexos;2019;13.748
ARAGÓN;36 años;Extranjeros;Ambos sexos;2019;3.626
ARAGÓN;37 años;TOTAL;Ambos sexos;2019;18.437
ARAGÓN;37 años;Españoles;Ambos sexos;2019;14.648
ARAGÓN;37 años;Extranjeros;Ambos sexos;2019;3.789
ARAGÓN;38 años;TOTAL;Ambos sexos;2019;19.648
ARAGÓN;38 años;Españoles;Ambos sexos;2019;15.733
ARAGÓN;38 años;Extranjeros;Ambos sexos;2019;3.915
ARAGÓN;39 años;TOTAL;Ambos sexos;2019;20.175
ARAGÓN;39 años;Españoles;Ambos sexos;2019;16.240
ARAGÓN;39 años;Extranjeros;Ambos sexos;2019;3.935
ARAGÓN;40 años;TOTAL;Ambos sexos;2019;21.023
ARAGÓN;40 años;Españoles;Ambos sexos;2019;17.291
ARAGÓN;40 años;Extranjeros;Ambos sexos;2019;3.732
ARAGÓN;41 años;TOTAL;Ambos sexos;2019;21.822
ARAGÓN;41 años;Españoles;Ambos sexos;2019;17.972
ARAGÓN;41 años;Extranjeros;Ambos sexos;2019;3.850
ARAGÓN;42 años;TOTAL;Ambos sexos;2019;22.001
ARAGÓN;42 años;Españoles;Ambos sexos;2019;18.419
ARAGÓN;42 años;Extranjeros;Ambos sexos;2019;3.582
ARAGÓN;43 años;TOTAL;Ambos sexos;2019;22.150
ARAGÓN;43 años;Españoles;Ambos sexos;2019;18.493
ARAGÓN;43 años;Extranjeros;Ambos sexos;2019;3.657
ARAGÓN;44 años;TOTAL;Ambos sexos;2019;21.651
ARAGÓN;44 años;Españoles;Ambos sexos;2019;18.343
ARAGÓN;44 años;Extranjeros;Ambos sexos;2019;3.308
ARAGÓN;45 años;TOTAL;Ambos sexos;2019;21.153
ARAGÓN;45 años;Españoles;Ambos sexos;2019;18.108
ARAGÓN;45 años;Extranjeros;Ambos sexos;2019;3.045
ARAGÓN;46 años;TOTAL;Ambos sexos;2019;21.432
ARAGÓN;46 años;Españoles;Ambos sexos;2019;18.560
ARAGÓN;46 años;Extranjeros;Ambos sexos;2019;2.872
ARAGÓN;47 años;TOTAL;Ambos sexos;2019;20.949
ARAGÓN;47 años;Españoles;Ambos sexos;2019;18.235
ARAGÓN;47 años;Extranjeros;Ambos sexos;2019;2.714
ARAGÓN;48 años;TOTAL;Ambos sexos;2019;20.929
ARAGÓN;48 años;Españoles;Ambos sexos;2019;18.260
ARAGÓN;48 años;Extranjeros;Ambos sexos;2019;2.669
ARAGÓN;49 años;TOTAL;Ambos sexos;2019;20.371
ARAGÓN;49 años;Españoles;Ambos sexos;2019;17.856
ARAGÓN;49 años;Extranjeros;Ambos sexos;2019;2.515
ARAGÓN;50 años;TOTAL;Ambos sexos;2019;20.442
ARAGÓN;50 años;Españoles;Ambos sexos;2019;17.944
ARAGÓN;50 años;Extranjeros;Ambos sexos;2019;2.498
ARAGÓN;51 años;TOTAL;Ambos sexos;2019;20.475
ARAGÓN;51 años;Españoles;Ambos sexos;2019;18.140
ARAGÓN;51 años;Extranjeros;Ambos sexos;2019;2.335
ARAGÓN;52 años;TOTAL;Ambos sexos;2019;20.187
ARAGÓN;52 años;Españoles;Ambos sexos;2019;18.442
ARAGÓN;52 años;Extranjeros;Ambos sexos;2019;1.745
ARAGÓN;53 años;TOTAL;Ambos sexos;2019;19.866
ARAGÓN;53 años;Españoles;Ambos sexos;2019;18.232
ARAGÓN;53 años;Extranjeros;Ambos sexos;2019;1.634
ARAGÓN;54 años;TOTAL;Ambos sexos;2019;20.366
ARAGÓN;54 años;Españoles;Ambos sexos;2019;18.779
ARAGÓN;54 años;Extranjeros;Ambos sexos;2019;1.587
ARAGÓN;55 años;TOTAL;Ambos sexos;2019;19.621
ARAGÓN;55 años;Españoles;Ambos sexos;2019;18.168
ARAGÓN;55 años;Extranjeros;Ambos sexos;2019;1.453
ARAGÓN;56 años;TOTAL;Ambos sexos;2019;19.195
ARAGÓN;56 años;Españoles;Ambos sexos;2019;17.834
ARAGÓN;56 años;Extranjeros;Ambos sexos;2019;1.361
ARAGÓN;57 años;TOTAL;Ambos sexos;2019;18.753
ARAGÓN;57 años;Españoles;Ambos sexos;2019;17.543
ARAGÓN;57 años;Extranjeros;Ambos sexos;2019;1.210
ARAGÓN;58 años;TOTAL;Ambos sexos;2019;18.778
ARAGÓN;58 años;Españoles;Ambos sexos;2019;17.590
ARAGÓN;58 años;Extranjeros;Ambos sexos;2019;1.188
ARAGÓN;59 años;TOTAL;Ambos sexos;2019;18.263
ARAGÓN;59 años;Españoles;Ambos sexos;2019;17.263
ARAGÓN;59 años;Extranjeros;Ambos sexos;2019;1.000
ARAGÓN;60 años;TOTAL;Ambos sexos;2019;17.798
ARAGÓN;60 años;Españoles;Ambos sexos;2019;16.835
ARAGÓN;60 años;Extranjeros;Ambos sexos;2019;963
ARAGÓN;61 años;TOTAL;Ambos sexos;2019;17.463
ARAGÓN;61 años;Españoles;Ambos sexos;2019;16.652
ARAGÓN;61 años;Extranjeros;Ambos sexos;2019;811
ARAGÓN;62 años;TOTAL;Ambos sexos;2019;16.400
ARAGÓN;62 años;Españoles;Ambos sexos;2019;15.620
ARAGÓN;62 años;Extranjeros;Ambos sexos;2019;780
ARAGÓN;63 años;TOTAL;Ambos sexos;2019;15.845
ARAGÓN;63 años;Españoles;Ambos sexos;2019;15.162
ARAGÓN;63 años;Extranjeros;Ambos sexos;2019;683
ARAGÓN;64 años;TOTAL;Ambos sexos;2019;14.706
ARAGÓN;64 años;Españoles;Ambos sexos;2019;14.130
ARAGÓN;64 años;Extranjeros;Ambos sexos;2019;576
ARAGÓN;65 años;TOTAL;Ambos sexos;2019;14.733
ARAGÓN;65 años;Españoles;Ambos sexos;2019;14.228
ARAGÓN;65 años;Extranjeros;Ambos sexos;2019;505
ARAGÓN;66 años;TOTAL;Ambos sexos;2019;14.869
ARAGÓN;66 años;Españoles;Ambos sexos;2019;14.421
ARAGÓN;66 años;Extranjeros;Ambos sexos;2019;448
ARAGÓN;67 años;TOTAL;Ambos sexos;2019;13.629
ARAGÓN;67 años;Españoles;Ambos sexos;2019;13.212
ARAGÓN;67 años;Extranjeros;Ambos sexos;2019;417
ARAGÓN;68 años;TOTAL;Ambos sexos;2019;13.426
ARAGÓN;68 años;Españoles;Ambos sexos;2019;13.062
ARAGÓN;68 años;Extranjeros;Ambos sexos;2019;364
ARAGÓN;69 años;TOTAL;Ambos sexos;2019;13.777
ARAGÓN;69 años;Españoles;Ambos sexos;2019;13.497
ARAGÓN;69 años;Extranjeros;Ambos sexos;2019;280
ARAGÓN;70 años;TOTAL;Ambos sexos;2019;14.140
ARAGÓN;70 años;Españoles;Ambos sexos;2019;13.898
ARAGÓN;70 años;Extranjeros;Ambos sexos;2019;242
ARAGÓN;71 años;TOTAL;Ambos sexos;2019;12.990
ARAGÓN;71 años;Españoles;Ambos sexos;2019;12.770
ARAGÓN;71 años;Extranjeros;Ambos sexos;2019;220
ARAGÓN;72 años;TOTAL;Ambos sexos;2019;12.711
