CE;Naturaleza;Denom. Genérica Centro;Cód. RCD Centro;Centro;Domicilio;coordenadas;Cód. Postal;Provincia;Municipio;Enseñanza (agrupada);Enseñanza;Modalidad;Curso;Sexo;Edad;Nº Alumnos
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";;50009;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;16 Años;48
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";;50009;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;17 Años;32
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";;50009;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;18 Años;37
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";;50009;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;19 Años;9
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";;50009;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;20 Años;19
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";;50009;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;21 Años;4
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";;50009;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Mujer;16 Años;28
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";;50009;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Mujer;17 Años;9
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";;50009;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Mujer;18 Años;9
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";;50009;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Mujer;19 Años;2
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";;50009;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Mujer;21 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;c/ Ramón y Cajal, 24;;50004;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;16 Años;5
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;c/ Ramón y Cajal, 24;;50004;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;17 Años;15
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;c/ Ramón y Cajal, 24;;50004;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;18 Años;15
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;c/ Ramón y Cajal, 24;;50004;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;19 Años;6
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;c/ Ramón y Cajal, 24;;50004;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;20 Años;6
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;c/ Ramón y Cajal, 24;;50004;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;21 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;c/ Ramón y Cajal, 24;;50004;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Mujer;16 Años;5
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;c/ Ramón y Cajal, 24;;50004;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Mujer;17 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;c/ Ramón y Cajal, 24;;50004;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Mujer;18 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;c/ Ramón y Cajal, 24;;50004;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Mujer;19 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;c/ Ramón y Cajal, 24;;50004;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Mujer;20 Años;1
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600075;APIP (ASOCIACIÓN PARA LA PROMOCIÓN E INSERCIÓN PROFESIONAL);C/ Las Armas, 102;;50003;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Total;Total;Hombre;16 Años;10
