CE;Naturaleza;Denom. Genérica Centro;Cód. RCD Centro;Centro;Domicilio;coordenadas;Cód. Postal;Provincia;Municipio;Enseñanza (agrupada);Enseñanza;Modalidad;Curso;Sexo;Edad;Nº Alumnos
2019/2020;Centro público;Escuela de Educación Infantil;50018118;DE QUINTO;P.º RONDA, 11;;50770;Zaragoza;Quinto;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;0 Años;3
2019/2020;Centro público;Escuela de Educación Infantil;50018118;DE QUINTO;P.º RONDA, 11;;50770;Zaragoza;Quinto;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;6
2019/2020;Centro público;Escuela de Educación Infantil;50018118;DE QUINTO;P.º RONDA, 11;;50770;Zaragoza;Quinto;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;6
2019/2020;Centro público;Escuela de Educación Infantil;50018118;DE QUINTO;P.º RONDA, 11;;50770;Zaragoza;Quinto;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;3
2019/2020;Centro público;Escuela de Educación Infantil;50018118;DE QUINTO;P.º RONDA, 11;;50770;Zaragoza;Quinto;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;4
2019/2020;Centro público;Escuela de Educación Infantil;50018179;LA RUELLA;CL. Q, 44;;50170;Zaragoza;Mequinenza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;13
2019/2020;Centro público;Escuela de Educación Infantil;50018179;LA RUELLA;CL. Q, 44;;50170;Zaragoza;Mequinenza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;5
2019/2020;Centro público;Escuela de Educación Infantil;50018179;LA RUELLA;CL. Q, 44;;50170;Zaragoza;Mequinenza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;10
2019/2020;Centro público;Escuela de Educación Infantil;50018179;LA RUELLA;CL. Q, 44;;50170;Zaragoza;Mequinenza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;3
2019/2020;Centro público;Escuela de Educación Infantil;50018180;LA PARVADICA;CL. CONDE, 2;;50629;Zaragoza;Sobradiel;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;5
2019/2020;Centro público;Escuela de Educación Infantil;50018180;LA PARVADICA;CL. CONDE, 2;;50629;Zaragoza;Sobradiel;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018180;LA PARVADICA;CL. CONDE, 2;;50629;Zaragoza;Sobradiel;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;4
2019/2020;Centro público;Escuela de Educación Infantil;50018192;LA PIRAÑA;CL. FLORENTINO BALLESTEROS, 2;;50002;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;0 Años;7
2019/2020;Centro público;Escuela de Educación Infantil;50018192;LA PIRAÑA;CL. FLORENTINO BALLESTEROS, 2;;50002;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;26
2019/2020;Centro público;Escuela de Educación Infantil;50018192;LA PIRAÑA;CL. FLORENTINO BALLESTEROS, 2;;50002;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;35
2019/2020;Centro público;Escuela de Educación Infantil;50018192;LA PIRAÑA;CL. FLORENTINO BALLESTEROS, 2;;50002;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;0 Años;7
2019/2020;Centro público;Escuela de Educación Infantil;50018192;LA PIRAÑA;CL. FLORENTINO BALLESTEROS, 2;;50002;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;22
2019/2020;Centro público;Escuela de Educación Infantil;50018192;LA PIRAÑA;CL. FLORENTINO BALLESTEROS, 2;;50002;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;19
2019/2020;Centro público;Escuela de Educación Infantil;50018210;ARCO IRIS;Camino Platera, 2;;50400;Zaragoza;Cariñena;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;0 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018210;ARCO IRIS;Camino Platera, 2;;50400;Zaragoza;Cariñena;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;4
2019/2020;Centro público;Escuela de Educación Infantil;50018210;ARCO IRIS;Camino Platera, 2;;50400;Zaragoza;Cariñena;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;9
2019/2020;Centro público;Escuela de Educación Infantil;50018210;ARCO IRIS;Camino Platera, 2;;50400;Zaragoza;Cariñena;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;0 Años;1
2019/2020;Centro público;Escuela de Educación Infantil;50018210;ARCO IRIS;Camino Platera, 2;;50400;Zaragoza;Cariñena;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;6
2019/2020;Centro público;Escuela de Educación Infantil;50018210;ARCO IRIS;Camino Platera, 2;;50400;Zaragoza;Cariñena;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;9
2019/2020;Centro público;Escuela de Educación Infantil;50018301;BALTASAR GONZÁLEZ;CL. PROLONGACIÓN LA FLORIDA;;50540;Zaragoza;Borja;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;0 Años;4
2019/2020;Centro público;Escuela de Educación Infantil;50018301;BALTASAR GONZÁLEZ;CL. PROLONGACIÓN LA FLORIDA;;50540;Zaragoza;Borja;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;7
2019/2020;Centro público;Escuela de Educación Infantil;50018301;BALTASAR GONZÁLEZ;CL. PROLONGACIÓN LA FLORIDA;;50540;Zaragoza;Borja;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;11
2019/2020;Centro público;Escuela de Educación Infantil;50018301;BALTASAR GONZÁLEZ;CL. PROLONGACIÓN LA FLORIDA;;50540;Zaragoza;Borja;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;13
2019/2020;Centro público;Escuela de Educación Infantil;50018301;BALTASAR GONZÁLEZ;CL. PROLONGACIÓN LA FLORIDA;;50540;Zaragoza;Borja;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;11
2019/2020;Centro público;Escuela de Educación Infantil;50018313;ZAGALICOS;CL. CONDE ARANDA 6;;50830;Zaragoza;Villanueva de Gállego;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;0 Años;3
2019/2020;Centro público;Escuela de Educación Infantil;50018313;ZAGALICOS;CL. CONDE ARANDA 6;;50830;Zaragoza;Villanueva de Gállego;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;10
2019/2020;Centro público;Escuela de Educación Infantil;50018313;ZAGALICOS;CL. CONDE ARANDA 6;;50830;Zaragoza;Villanueva de Gállego;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;11
2019/2020;Centro público;Escuela de Educación Infantil;50018313;ZAGALICOS;CL. CONDE ARANDA 6;;50830;Zaragoza;Villanueva de Gállego;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;0 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018313;ZAGALICOS;CL. CONDE ARANDA 6;;50830;Zaragoza;Villanueva de Gállego;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;14
2019/2020;Centro público;Escuela de Educación Infantil;50018313;ZAGALICOS;CL. CONDE ARANDA 6;;50830;Zaragoza;Villanueva de Gállego;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;12
2019/2020;Centro público;Escuela de Educación Infantil;50018325;GLORIA FUERTES;CL. ERAS ALTAS, 34-50;;50600;Zaragoza;Ejea de los Caballeros;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;12
2019/2020;Centro público;Escuela de Educación Infantil;50018325;GLORIA FUERTES;CL. ERAS ALTAS, 34-50;;50600;Zaragoza;Ejea de los Caballeros;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;15
2019/2020;Centro público;Escuela de Educación Infantil;50018325;GLORIA FUERTES;CL. ERAS ALTAS, 34-50;;50600;Zaragoza;Ejea de los Caballeros;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;0 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018325;GLORIA FUERTES;CL. ERAS ALTAS, 34-50;;50600;Zaragoza;Ejea de los Caballeros;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;10
2019/2020;Centro público;Escuela de Educación Infantil;50018325;GLORIA FUERTES;CL. ERAS ALTAS, 34-50;;50600;Zaragoza;Ejea de los Caballeros;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;11
2019/2020;Centro público;Escuela de Educación Infantil;50018337;EL TREN;CL. Reino nº 5;;50003;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;0 Años;4
2019/2020;Centro público;Escuela de Educación Infantil;50018337;EL TREN;CL. Reino nº 5;;50003;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;22
2019/2020;Centro público;Escuela de Educación Infantil;50018337;EL TREN;CL. Reino nº 5;;50003;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;16
2019/2020;Centro público;Escuela de Educación Infantil;50018337;EL TREN;CL. Reino nº 5;;50003;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;0 Años;3
2019/2020;Centro público;Escuela de Educación Infantil;50018337;EL TREN;CL. Reino nº 5;;50003;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;14
2019/2020;Centro público;Escuela de Educación Infantil;50018337;EL TREN;CL. Reino nº 5;;50003;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;20
2019/2020;Centro público;Escuela de Educación Infantil;50018349;LOS IBONES;CL. ANTONIO LEYVA Nº 102;;50011;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;0 Años;9
2019/2020;Centro público;Escuela de Educación Infantil;50018349;LOS IBONES;CL. ANTONIO LEYVA Nº 102;;50011;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;17
2019/2020;Centro público;Escuela de Educación Infantil;50018349;LOS IBONES;CL. ANTONIO LEYVA Nº 102;;50011;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;18
2019/2020;Centro público;Escuela de Educación Infantil;50018349;LOS IBONES;CL. ANTONIO LEYVA Nº 102;;50011;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;0 Años;5
2019/2020;Centro público;Escuela de Educación Infantil;50018349;LOS IBONES;CL. ANTONIO LEYVA Nº 102;;50011;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;7
2019/2020;Centro público;Escuela de Educación Infantil;50018349;LOS IBONES;CL. ANTONIO LEYVA Nº 102;;50011;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;18
2019/2020;Centro público;Escuela de Educación Infantil;50018350;BRIOLETAS;CL. LA IGLESIA, Nº 32;;50058;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;0 Años;9
2019/2020;Centro público;Escuela de Educación Infantil;50018350;BRIOLETAS;CL. LA IGLESIA, Nº 32;;50058;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;10
2019/2020;Centro público;Escuela de Educación Infantil;50018350;BRIOLETAS;CL. LA IGLESIA, Nº 32;;50058;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;19
2019/2020;Centro público;Escuela de Educación Infantil;50018350;BRIOLETAS;CL. LA IGLESIA, Nº 32;;50058;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;0 Años;5
2019/2020;Centro público;Escuela de Educación Infantil;50018350;BRIOLETAS;CL. LA IGLESIA, Nº 32;;50058;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;14
2019/2020;Centro público;Escuela de Educación Infantil;50018350;BRIOLETAS;CL. LA IGLESIA, Nº 32;;50058;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;17
2019/2020;Centro público;Escuela de Educación Infantil;50018362;MARÍA URREA;CL. LUIS LEGAZ LACAMBRA Nº 44;;50018;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;0 Años;7
2019/2020;Centro público;Escuela de Educación Infantil;50018362;MARÍA URREA;CL. LUIS LEGAZ LACAMBRA Nº 44;;50018;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;15
2019/2020;Centro público;Escuela de Educación Infantil;50018362;MARÍA URREA;CL. LUIS LEGAZ LACAMBRA Nº 44;;50018;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;14
2019/2020;Centro público;Escuela de Educación Infantil;50018362;MARÍA URREA;CL. LUIS LEGAZ LACAMBRA Nº 44;;50018;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;0 Años;7
2019/2020;Centro público;Escuela de Educación Infantil;50018362;MARÍA URREA;CL. LUIS LEGAZ LACAMBRA Nº 44;;50018;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;9
2019/2020;Centro público;Escuela de Educación Infantil;50018362;MARÍA URREA;CL. LUIS LEGAZ LACAMBRA Nº 44;;50018;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;22
2019/2020;Centro público;Escuela de Educación Infantil;50018374;LA PAZ;CL. EMILIO PÉREZ VIDAL, Nº 9;;50007;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;0 Años;4
2019/2020;Centro público;Escuela de Educación Infantil;50018374;LA PAZ;CL. EMILIO PÉREZ VIDAL, Nº 9;;50007;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;10
2019/2020;Centro público;Escuela de Educación Infantil;50018374;LA PAZ;CL. EMILIO PÉREZ VIDAL, Nº 9;;50007;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;11
2019/2020;Centro público;Escuela de Educación Infantil;50018374;LA PAZ;CL. EMILIO PÉREZ VIDAL, Nº 9;;50007;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;0 Años;10
2019/2020;Centro público;Escuela de Educación Infantil;50018374;LA PAZ;CL. EMILIO PÉREZ VIDAL, Nº 9;;50007;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;14
2019/2020;Centro público;Escuela de Educación Infantil;50018374;LA PAZ;CL. EMILIO PÉREZ VIDAL, Nº 9;;50007;Zaragoza;Zaragoza;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;23
2019/2020;Centro público;Escuela de Educación Infantil;50018404;DE FUENDEJALÓN;CL. AFUERAS, S/N;;50529;Zaragoza;Fuendejalón;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;0 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018404;DE FUENDEJALÓN;CL. AFUERAS, S/N;;50529;Zaragoza;Fuendejalón;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;1
2019/2020;Centro público;Escuela de Educación Infantil;50018404;DE FUENDEJALÓN;CL. AFUERAS, S/N;;50529;Zaragoza;Fuendejalón;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;5
2019/2020;Centro público;Escuela de Educación Infantil;50018404;DE FUENDEJALÓN;CL. AFUERAS, S/N;;50529;Zaragoza;Fuendejalón;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;0 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018441;DE FUENTES DE EBRO;CL. CORTES DE CADIZ Nº 6;;50740;Zaragoza;Fuentes de Ebro;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;0 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018441;DE FUENTES DE EBRO;CL. CORTES DE CADIZ Nº 6;;50740;Zaragoza;Fuentes de Ebro;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;12
2019/2020;Centro público;Escuela de Educación Infantil;50018441;DE FUENTES DE EBRO;CL. CORTES DE CADIZ Nº 6;;50740;Zaragoza;Fuentes de Ebro;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;16
2019/2020;Centro público;Escuela de Educación Infantil;50018441;DE FUENTES DE EBRO;CL. CORTES DE CADIZ Nº 6;;50740;Zaragoza;Fuentes de Ebro;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;0 Años;1
2019/2020;Centro público;Escuela de Educación Infantil;50018441;DE FUENTES DE EBRO;CL. CORTES DE CADIZ Nº 6;;50740;Zaragoza;Fuentes de Ebro;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;10
2019/2020;Centro público;Escuela de Educación Infantil;50018441;DE FUENTES DE EBRO;CL. CORTES DE CADIZ Nº 6;;50740;Zaragoza;Fuentes de Ebro;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;21
2019/2020;Centro público;Escuela de Educación Infantil;50018465;DE NOVILLAS;CL. PORTUGALETE, 17;;50530;Zaragoza;Novillas;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018465;DE NOVILLAS;CL. PORTUGALETE, 17;;50530;Zaragoza;Novillas;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;3
2019/2020;Centro público;Escuela de Educación Infantil;50018465;DE NOVILLAS;CL. PORTUGALETE, 17;;50530;Zaragoza;Novillas;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;3
2019/2020;Centro público;Escuela de Educación Infantil;50018477;DE JARABA;CL. LA VIUNA, S/N;;50237;Zaragoza;Jaraba;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018489;EL CASTILLO;CL. DUQUE, 13;;50108;Zaragoza;Almonacid de la Sierra;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;1
2019/2020;Centro público;Escuela de Educación Infantil;50018489;EL CASTILLO;CL. DUQUE, 13;;50108;Zaragoza;Almonacid de la Sierra;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;4
2019/2020;Centro público;Escuela de Educación Infantil;50018489;EL CASTILLO;CL. DUQUE, 13;;50108;Zaragoza;Almonacid de la Sierra;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;1
2019/2020;Centro público;Escuela de Educación Infantil;50018489;EL CASTILLO;CL. DUQUE, 13;;50108;Zaragoza;Almonacid de la Sierra;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018520;DE LUCENI;CL. RAMÓN Y CAJAL, ANGULAR CON AVDA. CONSTITUCIÓN;;50640;Zaragoza;Luceni;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;0 Años;1
2019/2020;Centro público;Escuela de Educación Infantil;50018520;DE LUCENI;CL. RAMÓN Y CAJAL, ANGULAR CON AVDA. CONSTITUCIÓN;;50640;Zaragoza;Luceni;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018520;DE LUCENI;CL. RAMÓN Y CAJAL, ANGULAR CON AVDA. CONSTITUCIÓN;;50640;Zaragoza;Luceni;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;6
2019/2020;Centro público;Escuela de Educación Infantil;50018520;DE LUCENI;CL. RAMÓN Y CAJAL, ANGULAR CON AVDA. CONSTITUCIÓN;;50640;Zaragoza;Luceni;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;0 Años;1
2019/2020;Centro público;Escuela de Educación Infantil;50018520;DE LUCENI;CL. RAMÓN Y CAJAL, ANGULAR CON AVDA. CONSTITUCIÓN;;50640;Zaragoza;Luceni;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018520;DE LUCENI;CL. RAMÓN Y CAJAL, ANGULAR CON AVDA. CONSTITUCIÓN;;50640;Zaragoza;Luceni;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;3
2019/2020;Centro público;Escuela de Educación Infantil;50018532;LA CUNICA;CTRA. TORRES DE BERRELLÉN, S/N;;50692;Zaragoza;Joyosa (La);EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;3
2019/2020;Centro público;Escuela de Educación Infantil;50018532;LA CUNICA;CTRA. TORRES DE BERRELLÉN, S/N;;50692;Zaragoza;Joyosa (La);EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;8
2019/2020;Centro público;Escuela de Educación Infantil;50018532;LA CUNICA;CTRA. TORRES DE BERRELLÉN, S/N;;50692;Zaragoza;Joyosa (La);EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;0 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018532;LA CUNICA;CTRA. TORRES DE BERRELLÉN, S/N;;50692;Zaragoza;Joyosa (La);EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;6
2019/2020;Centro público;Escuela de Educación Infantil;50018532;LA CUNICA;CTRA. TORRES DE BERRELLÉN, S/N;;50692;Zaragoza;Joyosa (La);EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;5
2019/2020;Centro público;Escuela de Educación Infantil;50018581;CHIRIBILLAS;CL. ALFONSO TIMONEDA, 4;;50461;Zaragoza;Alfamén;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;0 Años;1
2019/2020;Centro público;Escuela de Educación Infantil;50018581;CHIRIBILLAS;CL. ALFONSO TIMONEDA, 4;;50461;Zaragoza;Alfamén;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;4
2019/2020;Centro público;Escuela de Educación Infantil;50018581;CHIRIBILLAS;CL. ALFONSO TIMONEDA, 4;;50461;Zaragoza;Alfamén;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;3
2019/2020;Centro público;Escuela de Educación Infantil;50018581;CHIRIBILLAS;CL. ALFONSO TIMONEDA, 4;;50461;Zaragoza;Alfamén;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;1
2019/2020;Centro público;Escuela de Educación Infantil;50018581;CHIRIBILLAS;CL. ALFONSO TIMONEDA, 4;;50461;Zaragoza;Alfamén;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018593;DE ALPARTIR;P.º RAMÓN Y CAJAL, S/N;;50109;Zaragoza;Alpartir;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;0 Años;1
2019/2020;Centro público;Escuela de Educación Infantil;50018593;DE ALPARTIR;P.º RAMÓN Y CAJAL, S/N;;50109;Zaragoza;Alpartir;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018593;DE ALPARTIR;P.º RAMÓN Y CAJAL, S/N;;50109;Zaragoza;Alpartir;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;3
2019/2020;Centro público;Escuela de Educación Infantil;50018593;DE ALPARTIR;P.º RAMÓN Y CAJAL, S/N;;50109;Zaragoza;Alpartir;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;0 Años;1
2019/2020;Centro público;Escuela de Educación Infantil;50018593;DE ALPARTIR;P.º RAMÓN Y CAJAL, S/N;;50109;Zaragoza;Alpartir;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018593;DE ALPARTIR;P.º RAMÓN Y CAJAL, S/N;;50109;Zaragoza;Alpartir;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;1
2019/2020;Centro público;Escuela de Educación Infantil;50018601;GARABATOS;CL. EL FERIAL, 6;;50130;Zaragoza;Belchite;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;0 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018601;GARABATOS;CL. EL FERIAL, 6;;50130;Zaragoza;Belchite;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018601;GARABATOS;CL. EL FERIAL, 6;;50130;Zaragoza;Belchite;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018601;GARABATOS;CL. EL FERIAL, 6;;50130;Zaragoza;Belchite;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;0 Años;1
2019/2020;Centro público;Escuela de Educación Infantil;50018601;GARABATOS;CL. EL FERIAL, 6;;50130;Zaragoza;Belchite;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;1
2019/2020;Centro público;Escuela de Educación Infantil;50018601;GARABATOS;CL. EL FERIAL, 6;;50130;Zaragoza;Belchite;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018611;DE MORATA DE JALÓN;CAMI. DEL BALDÍO, S/N;;50260;Zaragoza;Morata de Jalón;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018611;DE MORATA DE JALÓN;CAMI. DEL BALDÍO, S/N;;50260;Zaragoza;Morata de Jalón;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018611;DE MORATA DE JALÓN;CAMI. DEL BALDÍO, S/N;;50260;Zaragoza;Morata de Jalón;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;1
2019/2020;Centro público;Escuela de Educación Infantil;50018623;PASICOS;CL. Alonso V, nº 2 Bajo;;50450;Zaragoza;Muel;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;0 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018623;PASICOS;CL. Alonso V, nº 2 Bajo;;50450;Zaragoza;Muel;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;6
2019/2020;Centro público;Escuela de Educación Infantil;50018623;PASICOS;CL. Alonso V, nº 2 Bajo;;50450;Zaragoza;Muel;EI;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;2
2019/2020;Centro público;Escuela de Educación Infantil;50018623;PASICOS;CL. Alonso V, nº 2 Bajo;;50450;Zaragoza;Muel;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;3
2019/2020;Centro público;Escuela de Educación Infantil;50018623;PASICOS;CL. Alonso V, nº 2 Bajo;;50450;Zaragoza;Muel;EI;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;2
