CE;Naturaleza;Denom. Genérica Centro;Cód. RCD Centro;Centro;Cód. RCD Centro;Domicilio;Provincia;Municipio;Enseñanza (agrupada);Enseñanza (estatal);Enseñanza;Modalidad;Curso;Sexo;Edad;Nº Alumnos
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);50600026;"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;18 Años;9
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);50600026;"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;19 Años;2
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600026;AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);50600026;"C/ Eduardo Ibarra, 7- 1º. Edificio ""EL CUBO""";Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;21 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;16 Años;5
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;17 Años;15
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;18 Años;15
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;19 Años;6
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;20 Años;6
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;21 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;16 Años;5
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;17 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;18 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;19 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;50600051;Fundación Federico Ozanam;50600051;c/ Ramón y Cajal, 24;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;20 Años;1
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600075;APIP (ASOCIACIÓN PARA LA PROMOCIÓN E INSERCIÓN PROFESIONAL);50600075;C/ Las Armas, 102;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;16 Años;10
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600075;APIP (ASOCIACIÓN PARA LA PROMOCIÓN E INSERCIÓN PROFESIONAL);50600075;C/ Las Armas, 102;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;17 Años;14
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600075;APIP (ASOCIACIÓN PARA LA PROMOCIÓN E INSERCIÓN PROFESIONAL);50600075;C/ Las Armas, 102;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;18 Años;4
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600075;APIP (ASOCIACIÓN PARA LA PROMOCIÓN E INSERCIÓN PROFESIONAL);50600075;C/ Las Armas, 102;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;19 Años;4
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600075;APIP (ASOCIACIÓN PARA LA PROMOCIÓN E INSERCIÓN PROFESIONAL);50600075;C/ Las Armas, 102;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;21 Años;1
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50600075;APIP (ASOCIACIÓN PARA LA PROMOCIÓN E INSERCIÓN PROFESIONAL);50600075;C/ Las Armas, 102;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;19 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50600099;Disminuidos Físicos de Aragón;50600099;C/ Jose Luis Pomarón, 10;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Hombre;16 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50600099;Disminuidos Físicos de Aragón;50600099;C/ Jose Luis Pomarón, 10;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Hombre;17 Años;5
2019/2020;privado;Actuación de Programas de Garantía Social;50600099;Disminuidos Físicos de Aragón;50600099;C/ Jose Luis Pomarón, 10;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Hombre;18 Años;5
2019/2020;privado;Actuación de Programas de Garantía Social;50600099;Disminuidos Físicos de Aragón;50600099;C/ Jose Luis Pomarón, 10;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Hombre;19 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;50600099;Disminuidos Físicos de Aragón;50600099;C/ Jose Luis Pomarón, 10;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Hombre;20 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50600099;Disminuidos Físicos de Aragón;50600099;C/ Jose Luis Pomarón, 10;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Hombre;21 Años;6
2019/2020;privado;Actuación de Programas de Garantía Social;50600099;Disminuidos Físicos de Aragón;50600099;C/ Jose Luis Pomarón, 10;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Mujer;16 Años;3
2019/2020;privado;Actuación de Programas de Garantía Social;50600099;Disminuidos Físicos de Aragón;50600099;C/ Jose Luis Pomarón, 10;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Mujer;17 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;50600099;Disminuidos Físicos de Aragón;50600099;C/ Jose Luis Pomarón, 10;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Mujer;18 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;50600099;Disminuidos Físicos de Aragón;50600099;C/ Jose Luis Pomarón, 10;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Mujer;19 Años;4
2019/2020;privado;Actuación de Programas de Garantía Social;50600099;Disminuidos Físicos de Aragón;50600099;C/ Jose Luis Pomarón, 10;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Mujer;21 Años;6
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;16 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;17 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;18 Años;5
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;19 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;15 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;16 Años;3
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;17 Años;4
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;18 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;19 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;20 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Hombre;16 Años;4
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Hombre;17 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Hombre;18 Años;4
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Hombre;19 Años;4
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Hombre;20 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Hombre;21 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Mujer;17 Años;3
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Mujer;18 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Mujer;19 Años;2
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Mujer;20 Años;1
2019/2020;privado;Actuación de Programas de Garantía Social;50601225;FUNDACIÓN RAMÓN REY ARDID;50601225;C/ GUILLÉN DE CASTRO, 2-4;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP - EE;Otros Programas Formativos de FP - EE;Total;Total;Mujer;21 Años;1
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601523;FUNDACIÓN ADUNARE;50601523;C/ BARRIO VERDE, 8;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;16 Años;1
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601523;FUNDACIÓN ADUNARE;50601523;C/ BARRIO VERDE, 8;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;17 Años;1
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601523;FUNDACIÓN ADUNARE;50601523;C/ BARRIO VERDE, 8;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Hombre;18 Años;1
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601523;FUNDACIÓN ADUNARE;50601523;C/ BARRIO VERDE, 8;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;16 Años;3
2019/2020;[Sin definir];Actuación de Programas de Garantía Social;50601523;FUNDACIÓN ADUNARE;50601523;C/ BARRIO VERDE, 8;Zaragoza;Zaragoza;OPF;Otros Programas Formativos de FP;Otros Programas Formativos de FP;Total;Total;Mujer;17 Años;2
