CE;Naturaleza;Denom. Genérica Centro;Cód. RCD Centro;Centro;Cód. RCD Centro;Domicilio;Provincia;Municipio;Enseñanza (agrupada);Enseñanza (estatal);Enseñanza;Modalidad;Curso;Sexo;Edad;Nº Alumnos
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Primero;Hombre;7 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Primero;Mujer;6 Años;21
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Primero;Mujer;7 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Segundo;Hombre;7 Años;18
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Segundo;Hombre;8 Años;4
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Segundo;Mujer;7 Años;20
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Segundo;Mujer;8 Años;6
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Tercero;Hombre;8 Años;11
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Tercero;Hombre;9 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Tercero;Mujer;8 Años;18
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Tercero;Mujer;9 Años;5
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Cuarto;Hombre;9 Años;10
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Cuarto;Hombre;10 Años;4
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Cuarto;Mujer;9 Años;15
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Cuarto;Mujer;10 Años;7
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Quinto;Hombre;10 Años;12
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Quinto;Hombre;11 Años;9
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Quinto;Mujer;10 Años;20
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Quinto;Mujer;11 Años;5
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Sexto;Hombre;11 Años;15
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Sexto;Hombre;12 Años;7
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Sexto;Mujer;11 Años;14
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;22001875;Pza. Valencia, S/N;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Sexto;Mujer;12 Años;7
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;3 Años;27
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;4 Años;30
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;5 Años;20
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;6 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;3 Años;18
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;4 Años;20
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;5 Años;26
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Primero;Hombre;6 Años;20
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Primero;Hombre;7 Años;3
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Primero;Mujer;6 Años;24
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Primero;Mujer;7 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Segundo;Hombre;7 Años;25
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Segundo;Hombre;8 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Segundo;Mujer;7 Años;21
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Segundo;Mujer;8 Años;2
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Segundo;Mujer;9 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Tercero;Hombre;8 Años;23
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Tercero;Hombre;9 Años;3
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Tercero;Mujer;8 Años;22
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Tercero;Mujer;9 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Cuarto;Hombre;9 Años;25
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Cuarto;Hombre;10 Años;4
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Cuarto;Mujer;9 Años;22
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Cuarto;Mujer;10 Años;2
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Quinto;Hombre;10 Años;21
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Quinto;Hombre;11 Años;3
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Quinto;Mujer;10 Años;25
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Quinto;Mujer;11 Años;2
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Sexto;Hombre;11 Años;29
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Sexto;Hombre;12 Años;6
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Sexto;Mujer;11 Años;16
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;22001887;Avda. Deportes, 4;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Sexto;Mujer;12 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001905;LITERA;22001905;Ctra. Nacional, Km.442;Huesca;Fraga;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;3 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001905;LITERA;22001905;Ctra. Nacional, Km.442;Huesca;Fraga;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;4 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001905;LITERA;22001905;Ctra. Nacional, Km.442;Huesca;Fraga;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;5 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001905;LITERA;22001905;Ctra. Nacional, Km.442;Huesca;Fraga;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;3 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001905;LITERA;22001905;Ctra. Nacional, Km.442;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Segundo;Mujer;7 Años;2
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001905;LITERA;22001905;Ctra. Nacional, Km.442;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Tercero;Hombre;8 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001905;LITERA;22001905;Ctra. Nacional, Km.442;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Tercero;Mujer;8 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001905;LITERA;22001905;Ctra. Nacional, Km.442;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Cuarto;Mujer;9 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22001905;LITERA;22001905;Ctra. Nacional, Km.442;Huesca;Fraga;EP;E. Primaria;E. Primaria;Total;Sexto;Hombre;11 Años;2
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;22002016;Cl. La Fuente, S/N;Huesca;Fueva (La);EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;3 Años;3
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;22002016;Cl. La Fuente, S/N;Huesca;Fueva (La);EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;4 Años;4
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;22002016;Cl. La Fuente, S/N;Huesca;Fueva (La);EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;5 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;22002016;Cl. La Fuente, S/N;Huesca;Fueva (La);EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;3 Años;3
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;22002016;Cl. La Fuente, S/N;Huesca;Fueva (La);EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;5 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;22002016;Cl. La Fuente, S/N;Huesca;Fueva (La);EP;E. Primaria;E. Primaria;Total;Primero;Hombre;6 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;22002016;Cl. La Fuente, S/N;Huesca;Fueva (La);EP;E. Primaria;E. Primaria;Total;Primero;Mujer;6 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;22002016;Cl. La Fuente, S/N;Huesca;Fueva (La);EP;E. Primaria;E. Primaria;Total;Segundo;Hombre;7 Años;3
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;22002016;Cl. La Fuente, S/N;Huesca;Fueva (La);EP;E. Primaria;E. Primaria;Total;Segundo;Hombre;9 Años;2
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;22002016;Cl. La Fuente, S/N;Huesca;Fueva (La);EP;E. Primaria;E. Primaria;Total;Tercero;Hombre;8 Años;4
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;22002016;Cl. La Fuente, S/N;Huesca;Fueva (La);EP;E. Primaria;E. Primaria;Total;Tercero;Mujer;8 Años;4
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;22002016;Cl. La Fuente, S/N;Huesca;Fueva (La);EP;E. Primaria;E. Primaria;Total;Cuarto;Hombre;9 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;22002016;Cl. La Fuente, S/N;Huesca;Fueva (La);EP;E. Primaria;E. Primaria;Total;Cuarto;Hombre;10 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;22002016;Cl. La Fuente, S/N;Huesca;Fueva (La);EP;E. Primaria;E. Primaria;Total;Cuarto;Mujer;9 Años;5
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;22002016;Cl. La Fuente, S/N;Huesca;Fueva (La);EP;E. Primaria;E. Primaria;Total;Quinto;Hombre;10 Años;5
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;22002016;Cl. La Fuente, S/N;Huesca;Fueva (La);EP;E. Primaria;E. Primaria;Total;Quinto;Mujer;10 Años;2
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;22002016;Cl. La Fuente, S/N;Huesca;Fueva (La);EP;E. Primaria;E. Primaria;Total;Sexto;Hombre;12 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;22002016;Cl. La Fuente, S/N;Huesca;Fueva (La);EP;E. Primaria;E. Primaria;Total;Sexto;Mujer;11 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;22002016;Cl. La Fuente, S/N;Huesca;Fueva (La);EP;E. Primaria;E. Primaria;Total;Sexto;Mujer;12 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;3 Años;6
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;4 Años;3
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;5 Años;6
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;3 Años;5
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;4 Años;11
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;5 Años;6
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Primero;Hombre;6 Años;5
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Primero;Hombre;7 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Primero;Mujer;6 Años;4
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Segundo;Hombre;7 Años;8
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Segundo;Hombre;8 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Segundo;Mujer;7 Años;9
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Tercero;Hombre;8 Años;6
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Tercero;Hombre;9 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Tercero;Mujer;8 Años;5
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Tercero;Mujer;9 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Cuarto;Hombre;9 Años;4
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Cuarto;Hombre;10 Años;2
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Cuarto;Mujer;9 Años;7
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Cuarto;Mujer;10 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Quinto;Hombre;10 Años;8
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Quinto;Hombre;11 Años;3
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Quinto;Mujer;10 Años;6
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Sexto;Hombre;11 Años;5
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Sexto;Hombre;13 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Sexto;Mujer;11 Años;5
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;22002119;CL. ESCUELAS, S/N;Huesca;Grañén;EP;E. Primaria;E. Primaria;Total;Sexto;Mujer;12 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002156;JOAQUÍN COSTA;22002156;Cl. Angel Samblancat, 10;Huesca;Graus;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;3 Años;19
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002156;JOAQUÍN COSTA;22002156;Cl. Angel Samblancat, 10;Huesca;Graus;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;4 Años;23
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002156;JOAQUÍN COSTA;22002156;Cl. Angel Samblancat, 10;Huesca;Graus;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;5 Años;12
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002156;JOAQUÍN COSTA;22002156;Cl. Angel Samblancat, 10;Huesca;Graus;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;6 Años;2
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002156;JOAQUÍN COSTA;22002156;Cl. Angel Samblancat, 10;Huesca;Graus;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;3 Años;14
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002156;JOAQUÍN COSTA;22002156;Cl. Angel Samblancat, 10;Huesca;Graus;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;4 Años;20
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002156;JOAQUÍN COSTA;22002156;Cl. Angel Samblancat, 10;Huesca;Graus;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;5 Años;12
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002156;JOAQUÍN COSTA;22002156;Cl. Angel Samblancat, 10;Huesca;Graus;EP;E. Primaria;E. Primaria;Total;Primero;Hombre;6 Años;12
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002156;JOAQUÍN COSTA;22002156;Cl. Angel Samblancat, 10;Huesca;Graus;EP;E. Primaria;E. Primaria;Total;Primero;Hombre;7 Años;1
2019/2020;Centro público;Colegio de Educación Infantil y Primaria;22002156;JOAQUÍN COSTA;22002156;Cl. Angel Samblancat, 10;Huesca;Graus;EP;E. Primaria;E. Primaria;Total;Primero;Hombre;8 Años;2
