CE;Enseñanza;Curso;Naturaleza;Denom. Genérica Centro;Centro;Nº Matriculados
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LUIS BUÑUEL;75
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MAR DE ARAGÓN;48
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MARTÍNEZ VARGAS;54
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MATARRAÑA;31
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MEDINA ALBAIDA;83
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIGUEL CATALÁN;147
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIGUEL DE MOLINOS;64
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIGUEL SERVET;163
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIRALBUENO;23
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MONEGROS-GASPAR LAX;32
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PABLO GARGALLO;71
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PABLO SERRANO;78
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PABLO SERRANO;50
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PEDRO CERRADA;58
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PEDRO DE LUNA;153
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PILAR LORENGAR;98
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PIRINEOS;50
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RAMÓN J. SENDER;35
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RAMÓN PIGNATELLI;51
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RAMÓN Y CAJAL;47
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;REYES CATÓLICOS;53
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RÍO ARBA;32
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RÍO GÁLLEGO;44
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RODANAS;32
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SALVADOR VICTORIA;27
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SAN ALBERTO MAGNO;31
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SANTA EMERENCIANA;55
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SANTIAGO HERNÁNDEZ;50
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SEGUNDO DE CHOMÓN;71
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SIERRA DE LA VIRGEN;47
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SIERRA DE SAN QUÍLEZ;39
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SIGLO XXI;51
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SOBRARBE;36
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;TIEMPOS MODERNOS;75
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;TUBALCAÍN;60
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;VALLE DEL JILOCA;24
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;VEGA DEL TURIA;90
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;VIRGEN DEL PILAR;53
2010/2011;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ZAURÍN;28
2010/2011;Bachillerato;2;Centro público;Escuela de Arte;ESCUELA DE ARTE DE HUESCA;42
2010/2011;Bachillerato;2;Centro público;Escuela de Arte;ESCUELA DE ARTE DE TERUEL;25
2010/2011;Bachillerato;2;Centro público;Escuela de Arte;ESCUELA DE ARTE DE ZARAGOZA;173
2010/2011;Bachillerato;2;Centro público;Centro Público Integrado de Formación Profesional;LOS ENLACES;25
2010/2011;Bachillerato;2;Centro privado;Centro Privado de Educación Secundaria;LA SALLE-SANTO ANGEL;54
2010/2011;Bachillerato;2;Centro privado;Centro Privado de Educación Secundaria;SALESIANOS LAVIAGA-CASTILLO;38
2010/2011;Bachillerato;2;Centro privado;Centro Privado de Educación Secundaria;SAN VALERO;87
2010/2011;Bachillerato;2;Centro privado;Centro Privado de Educación Secundaria;SANTO DOMINGO SAVIO;58
2010/2011;Bachillerato;2;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;EL BUEN PASTOR;57
2010/2011;Bachillerato;2;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;OBRA DIOCESANA SANTO DOMINGO DE SILOS;164
2010/2011;Bachillerato;2;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;PADRE ENRIQUE DE OSSÓ;68
2010/2011;Bachillerato;2;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;SALESIANO NTRA. SRA.DEL PILAR;83
2010/2011;Bachillerato;3;Centro público;Instituto de Educación Secundaria;DOMINGO MIRAL;1
2010/2011;Bachillerato;3;Centro público;Instituto de Educación Secundaria;PEDRO DE LUNA;13
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ANDALÁN;88
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ÁNGEL SANZ BRIZ;52
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;AVEMPACE;77
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BAJO ARAGÓN;151
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BAJO CINCA;36
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BALTASAR GRACIÁN;37
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BENJAMÍN JARNÉS;80
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BIELLO ARAGÓN;33
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;CABAÑAS;58
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;CINCO VILLAS;51
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;COMUNIDAD DE DAROCA;14
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;CONDE ARANDA;53
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;CORONA DE ARAGÓN;91
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;DOMINGO MIRAL;61
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;EL PORTILLO;57
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ELAIOS;89
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;EMILIO JIMENO;71
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;FÉLIX DE AZARA;119
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;FERNANDO LÁZARO CARRETER;27
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;FRANCÉS DE ARANDA;108
2011/2012;Bachillerato;1;Centro público;Instituto de Educación Secundaria;FRANCISCO GRANDE COVIÁN;88
