CE;Enseñanza;Curso;Naturaleza;Denom. Genérica Centro;Centro;Nº Matriculados
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JOSÉ MOR DE FUENTES;60
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JUAN DE LANUZA;60
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LA AZUCARERA;34
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LA LLITERA;29
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LEONARDO DE CHABACIER;55
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LUIS BUÑUEL;107
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MAR DE ARAGÓN;52
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MARTÍNEZ VARGAS;58
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MATARRAÑA;39
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MEDINA ALBAIDA;87
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIGUEL CATALÁN;144
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIGUEL DE MOLINOS;45
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIGUEL SERVET;147
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIRALBUENO;27
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MONEGROS-GASPAR LAX;36
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PABLO GARGALLO;85
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PABLO SERRANO;80
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PABLO SERRANO;46
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PEDRO CERRADA;72
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PEDRO DE LUNA;191
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PILAR LORENGAR;92
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PIRINEOS;37
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RAMÓN J. SENDER;65
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RAMÓN PIGNATELLI;51
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RAMÓN Y CAJAL;60
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;REYES CATÓLICOS;70
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RÍO ARBA;34
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RÍO GÁLLEGO;47
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RODANAS;20
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SALVADOR VICTORIA;21
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SAN ALBERTO MAGNO;34
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SANTA EMERENCIANA;61
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SANTIAGO HERNÁNDEZ;45
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SEGUNDO DE CHOMÓN;77
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SIERRA DE LA VIRGEN;43
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SIERRA DE SAN QUÍLEZ;54
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SIGLO XXI;39
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SOBRARBE;37
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;TIEMPOS MODERNOS;80
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;TUBALCAÍN;72
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;VALLE DEL JILOCA;39
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;VEGA DEL TURIA;81
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;VIRGEN DEL PILAR;61
2011/2012;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ZAURÍN;45
2011/2012;Bachillerato;2;Centro público;Escuela de Arte;ESCUELA DE ARTE DE HUESCA;51
2011/2012;Bachillerato;2;Centro público;Escuela de Arte;ESCUELA DE ARTE DE TERUEL;23
2011/2012;Bachillerato;2;Centro público;Escuela de Arte;ESCUELA DE ARTE DE ZARAGOZA;210
2011/2012;Bachillerato;2;Centro privado;Centro Privado de Educación Secundaria;SALESIANOS LAVIAGA-CASTILLO;35
2011/2012;Bachillerato;2;Centro privado;Centro Privado de Educación Secundaria;SAN VALERO;87
2011/2012;Bachillerato;2;Centro privado;Centro Privado de Educación Secundaria;SANTO DOMINGO SAVIO;52
2011/2012;Bachillerato;2;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;EL BUEN PASTOR;49
2011/2012;Bachillerato;2;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;OBRA DIOCESANA SANTO DOMINGO DE SILOS;152
2011/2012;Bachillerato;2;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;PADRE ENRIQUE DE OSSÓ;59
2011/2012;Bachillerato;2;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;SALESIANO NTRA. SRA.DEL PILAR;96
2011/2012;Bachillerato;2;Centro privado;Centro Privado Integrado de Formación Profesional;LA SALLE-SANTO ANGEL;37
2011/2012;Bachillerato;3;Centro público;Instituto de Educación Secundaria;CORONA DE ARAGÓN;11
2011/2012;Bachillerato;3;Centro público;Instituto de Educación Secundaria;DOMINGO MIRAL;20
2011/2012;Bachillerato;3;Centro público;Instituto de Educación Secundaria;MIGUEL SERVET;11
2011/2012;Bachillerato;3;Centro público;Instituto de Educación Secundaria;PEDRO DE LUNA;0
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ANDALÁN;81
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ÁNGEL SANZ BRIZ;59
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;AVEMPACE;64
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BAJO ARAGÓN;147
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BAJO CINCA;44
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BALTASAR GRACIÁN;52
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BENJAMÍN JARNÉS;101
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BIELLO ARAGÓN;33
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;CABAÑAS;63
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;CINCO VILLAS;49
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;COMUNIDAD DE DAROCA;21
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;CONDE ARANDA;46
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;CORONA DE ARAGÓN;89
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;DOMINGO MIRAL;76
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;EL PORTILLO;55
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ELAIOS;113
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;EMILIO JIMENO;69
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;FÉLIX DE AZARA;83
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;FERNANDO LÁZARO CARRETER;23
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;FRANCÉS DE ARANDA;89
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;FRANCISCO GRANDE COVIÁN;113
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;GALLICUM;44
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;GOYA;319
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;HERMANOS ARGENSOLA;74
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ÍTACA;93
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JERÓNIMO ZURITA;96
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JOAQUÍN COSTA;42
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JOSÉ MANUEL BLECUA;31
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JOSÉ MOR DE FUENTES;72
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JUAN DE LANUZA;71
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;LA AZUCARERA;102
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;LA LLITERA;48
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;LEONARDO DE CHABACIER;62
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;LUCAS MALLADA;39
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;LUIS BUÑUEL;115
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MAR DE ARAGÓN;72
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MARTÍNEZ VARGAS;59
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MATARRAÑA;44
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MEDINA ALBAIDA;90
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MIGUEL CATALÁN;156
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MIGUEL DE MOLINOS;69
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MIGUEL SERVET;193
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MIRALBUENO;26
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MONEGROS-GASPAR LAX;35
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PABLO GARGALLO;48
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PABLO SERRANO;67
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PABLO SERRANO;73
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PEDRO CERRADA;60
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PEDRO DE LUNA;177
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PILAR LORENGAR;96
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PIRÁMIDE;162
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PIRINEOS;62
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RAMÓN J. SENDER;72
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RAMÓN PIGNATELLI;45
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RAMÓN Y CAJAL;188
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RAMÓN Y CAJAL;42
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;REYES CATÓLICOS;68
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RÍO ARBA;42
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RÍO GÁLLEGO;46
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;RODANAS;32
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SALVADOR VICTORIA;18
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SAN ALBERTO MAGNO;43
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SANTA EMERENCIANA;90
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SANTIAGO HERNÁNDEZ;55
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SEGUNDO DE CHOMÓN;101
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SIERRA DE GUARA;73
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SIERRA DE LA VIRGEN;42
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SIERRA DE SAN QUÍLEZ;55
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SIGLO XXI;30
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;SOBRARBE;38
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;TIEMPOS MODERNOS;100
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;TORRE DE LOS ESPEJOS;30
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;TUBALCAÍN;76
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;VALLE DEL JILOCA;32
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;VEGA DEL TURIA;61
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;VIRGEN DEL PILAR;63
2012/2013;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ZAURÍN;46
2012/2013;Bachillerato;1;Centro público;Escuela de Arte;ESCUELA DE ARTE DE HUESCA;59
2012/2013;Bachillerato;1;Centro público;Escuela de Arte;ESCUELA DE ARTE DE TERUEL;32
2012/2013;Bachillerato;1;Centro público;Escuela de Arte;ESCUELA DE ARTE DE ZARAGOZA;204
2012/2013;Bachillerato;1;Centro privado;Centro Privado de Educación Secundaria;SALESIANOS LAVIAGA-CASTILLO;38
2012/2013;Bachillerato;1;Centro privado;Centro Privado de Educación Secundaria;SAN VALERO;104
2012/2013;Bachillerato;1;Centro privado;Centro Privado de Educación Secundaria;SANTO DOMINGO SAVIO;48
2012/2013;Bachillerato;1;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;EL BUEN PASTOR;66
2012/2013;Bachillerato;1;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;OBRA DIOCESANA SANTO DOMINGO DE SILOS;186
2012/2013;Bachillerato;1;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;PADRE ENRIQUE DE OSSÓ;62
2012/2013;Bachillerato;1;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;SALESIANO NTRA. SRA.DEL PILAR;101
2012/2013;Bachillerato;1;Centro privado;Centro Privado Integrado de Formación Profesional;LA SALLE-SANTO ANGEL;68
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ANDALÁN;78
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ÁNGEL SANZ BRIZ;45
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;AVEMPACE;74
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BAJO ARAGÓN;177
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BAJO CINCA;35
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BALTASAR GRACIÁN;39
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BENJAMÍN JARNÉS;76
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;BIELLO ARAGÓN;33
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;CABAÑAS;55
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;CINCO VILLAS;55
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;COMUNIDAD DE DAROCA;12
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;CONDE ARANDA;50
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;CORONA DE ARAGÓN;89
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;DOMINGO MIRAL;53
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;EL PORTILLO;62
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ELAIOS;83
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;EMILIO JIMENO;66
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;FÉLIX DE AZARA;113
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;FERNANDO LÁZARO CARRETER;30
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;FRANCÉS DE ARANDA;89
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;FRANCISCO GRANDE COVIÁN;85
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;GALLICUM;34
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;GOYA;364
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;HERMANOS ARGENSOLA;71
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ÍTACA;63
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JERÓNIMO ZURITA;95
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JOAQUÍN COSTA;34
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JOSÉ MANUEL BLECUA;32
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JOSÉ MOR DE FUENTES;70
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;JUAN DE LANUZA;70
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LA AZUCARERA;69
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LA LLITERA;35
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LEONARDO DE CHABACIER;63
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LUCAS MALLADA;42
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;LUIS BUÑUEL;113
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MAR DE ARAGÓN;79
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MARTÍNEZ VARGAS;57
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MATARRAÑA;38
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MEDINA ALBAIDA;75
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIGUEL CATALÁN;148
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIGUEL DE MOLINOS;85
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIGUEL SERVET;164
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MIRALBUENO;30
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;MONEGROS-GASPAR LAX;36
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PABLO GARGALLO;72
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PABLO SERRANO;77
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PABLO SERRANO;48
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PEDRO CERRADA;86
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PEDRO DE LUNA;172
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PILAR LORENGAR;89
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PIRÁMIDE;115
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;PIRINEOS;56
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RAMÓN J. SENDER;61
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RAMÓN PIGNATELLI;44
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RAMÓN Y CAJAL;191
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RAMÓN Y CAJAL;56
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;REYES CATÓLICOS;78
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RÍO ARBA;38
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RÍO GÁLLEGO;29
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;RODANAS;33
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SALVADOR VICTORIA;18
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SAN ALBERTO MAGNO;41
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SANTA EMERENCIANA;88
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SANTIAGO HERNÁNDEZ;54
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SEGUNDO DE CHOMÓN;86
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SIERRA DE GUARA;63
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SIERRA DE LA VIRGEN;35
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SIERRA DE SAN QUÍLEZ;62
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SIGLO XXI;44
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;SOBRARBE;41
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;TIEMPOS MODERNOS;85
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;TUBALCAÍN;83
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;VALLE DEL JILOCA;34
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;VEGA DEL TURIA;92
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;VIRGEN DEL PILAR;61
2012/2013;Bachillerato;2;Centro público;Instituto de Educación Secundaria;ZAURÍN;45
2012/2013;Bachillerato;2;Centro público;Escuela de Arte;ESCUELA DE ARTE DE HUESCA;50
2012/2013;Bachillerato;2;Centro público;Escuela de Arte;ESCUELA DE ARTE DE TERUEL;20
2012/2013;Bachillerato;2;Centro público;Escuela de Arte;ESCUELA DE ARTE DE ZARAGOZA;186
2012/2013;Bachillerato;2;Centro privado;Centro Privado de Educación Secundaria;SALESIANOS LAVIAGA-CASTILLO;53
2012/2013;Bachillerato;2;Centro privado;Centro Privado de Educación Secundaria;SAN VALERO;98
2012/2013;Bachillerato;2;Centro privado;Centro Privado de Educación Secundaria;SANTO DOMINGO SAVIO;49
2012/2013;Bachillerato;2;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;EL BUEN PASTOR;60
2012/2013;Bachillerato;2;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;OBRA DIOCESANA SANTO DOMINGO DE SILOS;141
2012/2013;Bachillerato;2;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;PADRE ENRIQUE DE OSSÓ;58
2012/2013;Bachillerato;2;Centro privado;Centro Privado de Educación Infantil Primaria y Secundaria;SALESIANO NTRA. SRA.DEL PILAR;77
2012/2013;Bachillerato;2;Centro privado;Centro Privado Integrado de Formación Profesional;LA SALLE-SANTO ANGEL;70
2012/2013;Bachillerato;3;Centro público;Instituto de Educación Secundaria;DOMINGO MIRAL;6
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ANDALÁN;87
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ÁNGEL SANZ BRIZ;51
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;AVEMPACE;86
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BAJO ARAGÓN;176
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BAJO CINCA;55
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BALTASAR GRACIÁN;45
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BENJAMÍN JARNÉS;82
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;BIELLO ARAGÓN;42
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;CABAÑAS;55
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;CINCO VILLAS;61
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;CLARA CAMPOAMOR RODRÍGUEZ;35
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;COMUNIDAD DE DAROCA;26
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;CONDE ARANDA;49
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;CORONA DE ARAGÓN;93
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;DOMINGO MIRAL;58
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;EL PORTILLO;50
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ELAIOS;95
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;EMILIO JIMENO;88
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;FÉLIX DE AZARA;91
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;FERNANDO LÁZARO CARRETER;18
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;FRANCÉS DE ARANDA;88
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;FRANCISCO GRANDE COVIÁN;137
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;GALLICUM;56
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;GOYA;445
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;HERMANOS ARGENSOLA;72
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;ÍTACA;125
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JERÓNIMO ZURITA;106
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JOAQUÍN COSTA;55
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JOSÉ MANUEL BLECUA;79
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JOSÉ MOR DE FUENTES;80
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;JUAN DE LANUZA;74
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;LA AZUCARERA;95
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;LA LLITERA;42
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;LEONARDO DE CHABACIER;68
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;LUCAS MALLADA;43
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;LUIS BUÑUEL;131
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MAR DE ARAGÓN;65
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MARTÍNEZ VARGAS;60
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MATARRAÑA;32
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MEDINA ALBAIDA;100
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MIGUEL CATALÁN;165
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MIGUEL DE MOLINOS;68
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MIGUEL SERVET;173
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MIRALBUENO;25
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;MONEGROS-GASPAR LAX;33
2013/2014;Bachillerato;1;Centro público;Instituto de Educación Secundaria;PABLO GARGALLO;63
