ensenanza;curso;codmodalidad;modalidad;turno;dencentro;codcentro;nombrecentro;provincia;localidad;ngrupos;nmatriculado
[Sin especificar];-1;;[Sin especificar];[Sin especificar];Instituto de Educación Secundaria;22003902;SAN ALBERTO MAGNO;Huesca;Sabiñánigo;;1
[Sin especificar];-1;;[Sin especificar];[Sin especificar];Centro Privado de Educación Secundaria;22003239;SANTO DOMINGO SAVIO;Huesca;Monzón;;1
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22004633;EL PARQUE;Huesca;Huesca;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22010992;ARÉN;Huesca;Arén;;5
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22011005;MONTANUY;Huesca;Montanuy;;3
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44003090;PIERRES VEDEL;Teruel;Teruel;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005677;JUAN PABLO BONET;Zaragoza;Movera;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005744;ANDRÉS OLIVÁN;Zaragoza;San Juan de Mozarrifar;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005914;RECARTE Y ORNAT;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005951;DOMINGO MIRAL;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005963;FERNANDO EL CATÓLICO;Zaragoza;Zaragoza;1;17
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006001;JERÓNIMO ZURITA Y CASTRO;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006049;JULIÁN SANZ IBÁÑEZ;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006074;MARCOS FRECHÍN;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006128;SAN BRAULIO;Zaragoza;Zaragoza;1;17
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006207;CALIXTO ARIÑO-HILARIO VAL;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50008149;EUGENIO LÓPEZ Y LÓPEZ;Zaragoza;Zaragoza;1;17
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50008691;RAMIRO SOLÁNS;Zaragoza;Zaragoza;1;17
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50009373;JOSÉ CAMÓN AZNAR;Zaragoza;Zaragoza;1;17
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50009749;LA ESTRELLA;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50010171;HERMANOS MARX;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50010478;CIUDAD DE ZARAGOZA;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50011801;JOSÉ ANTONIO LABORDETA SUBÍAS;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50018830;VADORREY-LES ALLÉES;Zaragoza;Zaragoza;1;18
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Centro Público Integrado;50011288;CASTILLO QADRIT;Zaragoza;Cadrete;2;33
Primer Ciclo de Educación Infantil;3;;Primer Ciclo de Educación Infantil;Diurno;Centro Público Integrado;50017072;PARQUE GOYA;Zaragoza;Zaragoza;1;18
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22000071;ASUNCIÓN PAÑART MONTANER;Huesca;Aínsa;2;24
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22000251;JOSÉ MANUEL BLECUA;Huesca;Alcolea de Cinca;2;6
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22000299;SANTOS SAMPER SARASA;Huesca;Almudévar;1;13
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22000706;FRANCISCO GALIAY SARAÑANA;Huesca;Ballobar;2;12
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22000721;ALTO ARAGÓN;Huesca;Barbastro;2;38
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22000731;LA MERCED;Huesca;Barbastro;2;37
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22001073;VÍCTOR MENDOZA MENDOZA;Huesca;Binéfar;3;54
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22001191;VIRGEN DE LA SOLEDAD;Huesca;Bolea;1;3
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22001358;CERBÍN;Huesca;Campo;1;3
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22001437;LOS ARAÑONES;Huesca;Canfranc-Estación;1;2
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22001875;MIGUEL SERVET;Huesca;Fraga;2;35
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22001887;SAN JOSÉ DE CALASANZ;Huesca;Fraga;2;45
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22001905;LITERA;Huesca;Litera;1;2
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22002016;LA FUEVA;Huesca;Tierrantona;1;6
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22002119;SANTIAGO APÓSTOL;Huesca;Grañén;1;11
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22002156;JOAQUÍN COSTA;Huesca;Graus;2;33
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22002302;JUAN XXIII;Huesca;Huesca;3;52
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22002338;PÍO XII;Huesca;Huesca;2;23
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22002341;SANCHO RAMÍREZ;Huesca;Huesca;3;49
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22002351;SAN VICENTE;Huesca;Huesca;2;41
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22002569;ALCORAZ;Huesca;Huesca;2;23
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22002673;SAN JUAN DE LA PEÑA;Huesca;Jaca;3;63
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22003100;SAN GINÉS;Huesca;Lupiñén;1;1
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22003215;JOAQUÍN COSTA;Huesca;Monzón;2;38
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22003835;MONTECORONA;Huesca;Sabiñánigo;2;32
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22003847;PUENTE SARDAS;Huesca;Sabiñánigo;1;16
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22004104;LA LAGUNA;Huesca;Sariñena;2;40
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22004189;ALBERTO GALINDO;Huesca;Sena;1;2
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22004271;SAN MIGUEL;Huesca;Tamarite de Litera;2;23
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22004566;COLLARADA;Huesca;Villanúa;1;5
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22004578;MIGUEL SERVET;Huesca;Villanueva de Sigena;1;1
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22004608;SAN JUAN BAUTISTA;Huesca;Zaidín;1;14
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22004633;EL PARQUE;Huesca;Huesca;2;42
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22004839;MONTE OROEL;Huesca;Jaca;2;23
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22004840;ARAGÓN;Huesca;Monzón;2;38
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22004906;PEDRO I;Huesca;Barbastro;2;41
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22005054;VIRGEN DE LOS RÍOS;Huesca;Caldearenas;1;1
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22005200;PEDRO J. RUBIO;Huesca;Huesca;3;61
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22005340;VALLE DEL GUARGA;Huesca;Aineto;1;1
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22010323;PIRINEOS-PYRÉNÉES;Huesca;Huesca;3;60
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22010839;MONZÓN III;Huesca;Monzón;2;44
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22010876;MARÍA MOLINER;Huesca;Fraga;2;42
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;22010967;KATIA ACÍN;Huesca;Binéfar;1;19
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44000121;ROMÁN GARCÍA;Teruel;Albalate del Arzobispo;1;10
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44000246;EMILIO DÍAZ;Teruel;Alcañiz;3;55
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44000325;EL JUSTICIA DE ARAGÓN;Teruel;Alcorisa;2;33
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44000465;JUAN RAMÓN ALEGRE;Teruel;Andorra;2;43
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44000799;RICARDO MALLÉN;Teruel;Calamocha;2;47
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44000829;VIRGEN DEL PILAR;Teruel;Calanda;1;20
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44001159;ASTRÓNOMO ZARZOSO;Teruel;Cella;1;23
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44001378;ANTONIO GARGALLO MOYA;Teruel;Escucha;1;6
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44001706;LUIS TURÓN;Teruel;Híjar;0;10
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44002061;VALERO SERRANO;Teruel;Mas de las Matas;0;7
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44002152;NTRA. SRA. DEL PILAR;Teruel;Monreal del Campo;1;14
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44002191;COMARCA CUENCAS MINERAS;Teruel;Montalbán;1;10
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44002221;SAN MIGUEL;Teruel;Mora de Rubielos;1;19
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44002942;DE SARRIÓN;Teruel;Sarrión;1;16
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44003090;PIERRES VEDEL;Teruel;Teruel;1;17
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44003107;MIGUEL VALLÉS;Teruel;Teruel;2;31
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44003120;LAS ANEJAS;Teruel;Teruel;3;65
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44003272;ENSANCHE;Teruel;Teruel;3;56
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44003636;VILLA DE UTRILLAS;Teruel;Utrillas;1;18
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44003715;VICENTE FERRER RAMOS;Teruel;Valderrobres;2;22
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44004306;LA FUENFRESCA;Teruel;Teruel;3;67
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44004562;MANUEL FRANCO ROYO;Teruel;Andorra;2;33
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44010100;JUAN SOBRARIAS;Teruel;Alcañiz;2;39
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;44010203;JUAN LORENZO PALMIRENO;Teruel;Alcañiz;1;22
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50000126;ARAGÓN;Zaragoza;Alagón;2;46
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50000291;BRIANDA DE LUNA;Zaragoza;Alfajarín;2;26
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50000369;ARZOBISPO DOMÉNECH;Zaragoza;Almonacid de la Sierra;1;1
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50000370;NERTÓBRIGA;Zaragoza;Almunia de Doña Godina (La);2;29
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50000436;RAMÓN Y CAJAL;Zaragoza;Alpartir;1;1
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50000618;VIRGEN DE LA PEANA;Zaragoza;Ateca;1;8
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50000722;BELIA;Zaragoza;Belchite;1;6
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50000850;CAMPO DE BORJA;Zaragoza;Borja;2;32
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50000904;DIPUTACIÓN PROVINCIAL;Zaragoza;Brea de Aragón;1;9
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50001064;BALTASAR GRACIÁN;Zaragoza;Calatayud;1;22
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50001076;FRANCISCO DE GOYA;Zaragoza;Calatayud;2;29
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50001088;SALVADOR MINGUIJÓN;Zaragoza;Calatayud;1;21
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50001222;DOMINGO JIMÉNEZ BELTRÁN;Zaragoza;Calatorao;2;24
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50001301;SANTO CRISTO DE SANTIAGO;Zaragoza;Cariñena;2;24
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50001350;COMPROMISO DE CASPE;Zaragoza;Caspe;1;22
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50001672;LUCIO FABIO SEVERO;Zaragoza;Chiprana;1;7
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50001702;PEDRO SÁNCHEZ CIRUELO;Zaragoza;Daroca;1;28
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50001763;CERVANTES;Zaragoza;Ejea de los Caballeros;2;36
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50001775;FERRER Y RACAJ;Zaragoza;Ejea de los Caballeros;2;16
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50002007;GASPAR REMIRO;Zaragoza;Épila;2;39
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50002032;SAN JAVIER;Zaragoza;Escatrón;1;9
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50002123;NTRA. SRA. DEL PILAR;Zaragoza;Fayón;1;2
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50002275;LUIS GARCÍA SÁINZ;Zaragoza;Fuentes de Ebro;2;41
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50002433;SAN JORGE;Zaragoza;Herrera de los Navarros;1;2
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50002457;BENEDICTO XIII;Zaragoza;Illueca;1;15
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50002512;RAMÓN Y CAJAL;Zaragoza;Joyosa (La);1;8
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50002810;VIRGEN DEL PORTAL;Zaragoza;Maella;1;13
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50002937;MANLIA;Zaragoza;Mallén;2;26
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50003048;MARÍA QUINTANA;Zaragoza;Mequinenza;2;14
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50003206;LUCAS ARRIBAS;Zaragoza;Morata de Jalón;1;5
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50003504;SAN NICASIO;Zaragoza;Novillas;1;1
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50003711;LA PORTALADA;Zaragoza;Pastriz;1;7
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50003735;CERVANTES;Zaragoza;Pedrola;2;25
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50003851;MIGUEL ARTIGAS;Zaragoza;Pinseque;2;42
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50003981;JOAQUÍN COSTA;Zaragoza;Pradilla de Ebro;1;3
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50004004;LOS ALBARES;Zaragoza;Puebla de Alfindén (La);2;42
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50004031;FERNANDO EL CATÓLICO;Zaragoza;Quinto;1;8
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50004053;ALFREDO MUIÑOS;Zaragoza;Remolinos;1;6
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50004077;MAESTRO MONREAL;Zaragoza;Ricla;1;22
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50004326;DANIEL FEDERIO;Zaragoza;Sástago;1;11
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50004430;SUBPRADEL;Zaragoza;Sobradiel;1;11
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50004478;ISIDORO GIL DE JAZ;Zaragoza;Sos del Rey Católico;1;3
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50004545;JOAQUÍN COSTA;Zaragoza;Tarazona;1;19
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50004612;MONCAYO;Zaragoza;Tarazona;2;35
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50004703;ALFONSO I EL BATALLADOR;Zaragoza;Tauste;3;63
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50004843;MONTES DEL CASTELLAR;Zaragoza;Torres de Berrellén;1;6
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50004879;TOSOS;Zaragoza;Tosos;0;1
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005011;MIGUEL ARTAZOS TAMÉ;Zaragoza;Utebo;3;56
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005276;PINTOR PRADILLA;Zaragoza;Villanueva de Gállego;2;21
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005291;SAN BLAS;Zaragoza;Villanueva de Huerva;1;2
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005331;FERNANDO EL CATÓLICO;Zaragoza;Villarreal de Huerva;1;6
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005422;ÁNGEL ESCORIAZA;Zaragoza;Cartuja Baja;1;10
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005550;RICARDO MUR;Zaragoza;Casetas;2;29
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005574;GUSTAVO ADOLFO BÉCQUER;Zaragoza;Garrapinillos;2;28
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005598;JULIÁN NIETO TAPIA;Zaragoza;Zaragoza;2;46
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005631;HERMANOS ARGENSOLA;Zaragoza;Montañana;2;26
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005641;FERNÁNDEZ VIZARRA;Zaragoza;Monzalbarba;1;14
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005653;MAESTRO DON PEDRO ORÓS;Zaragoza;Movera;1;6
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005677;JUAN PABLO BONET;Zaragoza;Movera;2;27
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005707;FLORENCIO JARDIEL;Zaragoza;Peñaflor;1;5
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005744;ANDRÉS OLIVÁN;Zaragoza;San Juan de Mozarrifar;1;12
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005768;GUILLERMO FATÁS;Zaragoza;Zaragoza;3;63
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005872;MARIANO CASTILLO;Zaragoza;Villamayor;1;10
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005896;ANA MAYAYO;Zaragoza;Zaragoza;2;36
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005902;ANDRÉS MANJÓN;Zaragoza;Zaragoza;1;21
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005914;RECARTE Y ORNAT;Zaragoza;Zaragoza;2;43
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005926;CÁNDIDO DOMINGO;Zaragoza;Zaragoza;2;30
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005951;DOMINGO MIRAL;Zaragoza;Zaragoza;1;22
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005963;FERNANDO EL CATÓLICO;Zaragoza;Zaragoza;1;13
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005975;GASCÓN Y MARÍN;Zaragoza;Zaragoza;1;23
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50005999;JERÓNIMO BLANCAS Y TOMÁS;Zaragoza;Zaragoza;3;62
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006001;JERÓNIMO ZURITA Y CASTRO;Zaragoza;Zaragoza;2;29
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006013;JOAQUÍN COSTA;Zaragoza;Zaragoza;2;46
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006025;JOSÉ MARÍA MIR;Zaragoza;Zaragoza;2;41
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006049;JULIÁN SANZ IBÁÑEZ;Zaragoza;Zaragoza;1;22
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006050;LUIS VIVES;Zaragoza;Zaragoza;1;10
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006074;MARCOS FRECHÍN;Zaragoza;Zaragoza;2;26
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006128;SAN BRAULIO;Zaragoza;Zaragoza;1;17
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006141;SANTO DOMINGO;Zaragoza;Zaragoza;1;15
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006153;SAN JOSÉ DE CALASANZ;Zaragoza;Zaragoza;1;16
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006165;TÍO JORGE;Zaragoza;Zaragoza;2;32
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006207;CALIXTO ARIÑO-HILARIO VAL;Zaragoza;Zaragoza;2;28
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006219;EMILIO MORENO CALVETE;Zaragoza;Zaragoza;1;22
Educación Infantil;1;;Educación Infantil;Diurno;Colegio de Educación Infantil y Primaria;50006220;HILARIÓN GIMENO;Zaragoza;Zaragoza;3;60
