Cód. RCD Centro;Centro;Zona;Comarca;Municipio;Provincia;Nº Matriculados
22002521;SIERRA DE GUARA;Zona C.F. Grado Superior (H);Hoya de Huesca;Huesca;Huesca;295
22002521;SIERRA DE GUARA;Zona Huesca 7 (Secundaria);Hoya de Huesca;Huesca;Huesca;403
22002521;SIERRA DE GUARA;Zona Huesca BTO;Hoya de Huesca;Huesca;Huesca;125
22002569;ALCORAZ;Zona Huesca 3;Hoya de Huesca;Huesca;Huesca;376
22002673;SAN JUAN DE LA PEÑA;Zona Jaca;Jacetania;Jaca;Huesca;567
22002703;ESCUELAS PÍAS;Zona C.F. Grado Medio (H);Jacetania;Jaca;Huesca;20
22002703;ESCUELAS PÍAS;Zona Jaca;Jacetania;Jaca;Huesca;598
22002727;DOMINGO MIRAL;Zona Jaca;Jacetania;Jaca;Huesca;413
22002740;INSTITUTO DE FORMACIÓN AGROAMBIENTAL;Zona C.F. Grado Medio (H);Jacetania;Jaca;Huesca;31
22002740;INSTITUTO DE FORMACIÓN AGROAMBIENTAL;Zona C.F. Grado Superior (H);Jacetania;Jaca;Huesca;59
22002843;MONEGROS NORTE;Zona Lanaja;Monegros;Lanaja;Huesca;92
22003100;SAN GINÉS;Zona Lupiñén-Ortilla;Hoya de Huesca;Lupiñén-Ortilla;Huesca;16
22003215;JOAQUÍN COSTA;Zona Monzon 1;Cinca Medio;Monzón;Huesca;419
22003239;SANTO DOMINGO SAVIO;Zona C.F. Grado Básico (H);Cinca Medio;Monzón;Huesca;26
22003239;SANTO DOMINGO SAVIO;Zona C.F. Grado Medio (H);Cinca Medio;Monzón;Huesca;97
22003239;SANTO DOMINGO SAVIO;Zona C.F. Grado Superior (H);Cinca Medio;Monzón;Huesca;81
22003239;SANTO DOMINGO SAVIO;Zona Monzón;Cinca Medio;Monzón;Huesca;412
22003252;SANTA ANA;Zona Monzon 1;Cinca Medio;Monzón;Huesca;407
22003276;MINTE;Zona Monzon 2;Cinca Medio;Monzón;Huesca;203
22003288;JOSÉ MOR DE FUENTES;Zona C.F. Grado Básico (H);Cinca Medio;Monzón;Huesca;43
22003288;JOSÉ MOR DE FUENTES;Zona C.F. Grado Medio (H);Cinca Medio;Monzón;Huesca;82
22003288;JOSÉ MOR DE FUENTES;Zona C.F. Grado Superior (H);Cinca Medio;Monzón;Huesca;39
22003288;JOSÉ MOR DE FUENTES;Zona Monzón;Cinca Medio;Monzón;Huesca;710
22003343;SAN GREGORIO;Zona Ontiñena;Bajo Cinca;Ontiñena;Huesca;16
22003586;CINCA-CINQUETA;Zona Plan;Sobrarbe;Plan;Huesca;77
22003835;MONTECORONA;Zona Educación Especial (H);Alto Gallego;Sabiñánigo;Huesca;8
22003835;MONTECORONA;Zona Sabiñánigo 1;Alto Gallego;Sabiñánigo;Huesca;365
22003847;PUENTE SARDAS;Zona Sabiñánigo 2;Alto Gallego;Sabiñánigo;Huesca;191
22003860;SANTA ANA;Zona Sabiñánigo 1;Alto Gallego;Sabiñánigo;Huesca;154
22003902;SAN ALBERTO MAGNO;Zona C.F. Grado Medio (H);Alto Gallego;Sabiñánigo;Huesca;39
22003902;SAN ALBERTO MAGNO;Zona C.F. Grado Superior (H);Alto Gallego;Sabiñánigo;Huesca;13
22003902;SAN ALBERTO MAGNO;Zona Sabiñánigo 1;Alto Gallego;Sabiñánigo;Huesca;347
22003926;MIGUEL SERVET;Zona Senegue;Alto Gallego;Sabiñánigo;Huesca;5
22004104;LA LAGUNA;Zona Sariñena;Monegros;Sariñena;Huesca;329
22004189;ALBERTO GALINDO;Zona Sena;Monegros;Sena;Huesca;35
22004271;SAN MIGUEL;Zona Tamarite de Litera;La Litera;Tamarite de Litera;Huesca;245
22004566;COLLARADA;Zona Villanúa;Jacetania;Villanúa;Huesca;49
22004578;MIGUEL SERVET;Zona Villanueva de Sigena;Monegros;Villanueva de Sigena;Huesca;8
22004608;SAN JUAN BAUTISTA;Zona Zaidín;Bajo Cinca;Zaidín;Huesca;142
22004611;MARTÍNEZ VARGAS;Zona Barbastro;Somontano de Barbastro;Barbastro;Huesca;391
22004611;MARTÍNEZ VARGAS;Zona C.F. Grado Básico (H);Somontano de Barbastro;Barbastro;Huesca;22
22004611;MARTÍNEZ VARGAS;Zona C.F. Grado Medio (H);Somontano de Barbastro;Barbastro;Huesca;123
22004611;MARTÍNEZ VARGAS;Zona C.F. Grado Superior (H);Somontano de Barbastro;Barbastro;Huesca;269
22004633;EL PARQUE;Zona Huesca 4;Hoya de Huesca;Huesca;Huesca;429
22004773;LUCAS MALLADA;Zona Huesca 1 (Secundaria);Hoya de Huesca;Huesca;Huesca;323
22004773;LUCAS MALLADA;Zona Huesca BTO;Hoya de Huesca;Huesca;Huesca;160
22004839;MONTE OROEL;Zona Jaca;Jacetania;Jaca;Huesca;227
22004840;ARAGÓN;Zona Monzon 2;Cinca Medio;Monzón;Huesca;399
22004888;BAJO CINCA;Zona C.F. Grado Básico (H);Bajo Cinca;Fraga;Huesca;19
22004888;BAJO CINCA;Zona C.F. Grado Medio (H);Bajo Cinca;Fraga;Huesca;45
22004888;BAJO CINCA;Zona C.F. Grado Superior (H);Bajo Cinca;Fraga;Huesca;62
22004888;BAJO CINCA;Zona Fraga;Bajo Cinca;Fraga;Huesca;438
22004891;BIELLO ARAGÓN;Zona C.F. Grado Básico (H);Alto Gallego;Sabiñánigo;Huesca;24
22004891;BIELLO ARAGÓN;Zona C.F. Grado Medio (H);Alto Gallego;Sabiñánigo;Huesca;30
22004891;BIELLO ARAGÓN;Zona C.F. Grado Superior (H);Alto Gallego;Sabiñánigo;Huesca;72
22004891;BIELLO ARAGÓN;Zona Educación Especial (H);Alto Gallego;Sabiñánigo;Huesca;3
22004891;BIELLO ARAGÓN;Zona PCPI Huesca;Alto Gallego;Sabiñánigo;Huesca;7
22004891;BIELLO ARAGÓN;Zona Sabiñánigo 1;Alto Gallego;Sabiñánigo;Huesca;211
22004906;PEDRO I;Zona Barbastro 3;Somontano de Barbastro;Barbastro;Huesca;441
22004943;NTRA. SRA. DE GUAYENTE;Zona C.F. Grado Básico (H);Ribagorza;Sahún;Huesca;5
22004943;NTRA. SRA. DE GUAYENTE;Zona C.F. Grado Medio (H);Ribagorza;Sahún;Huesca;21
22005030;MONEGROS-GASPAR LAX;Zona C.F. Grado Básico (H);Monegros;Sariñena;Huesca;15
22005030;MONEGROS-GASPAR LAX;Zona C.F. Grado Medio (H);Monegros;Sariñena;Huesca;9
22005030;MONEGROS-GASPAR LAX;Zona Sariñena;Monegros;Sariñena;Huesca;298
22005054;VIRGEN DE LOS RÍOS;Zona Caldearenas;Alto Gallego;Caldearenas;Huesca;21
22005121;SAN LORENZO;Zona C.F. Grado Básico (H);Hoya de Huesca;Huesca;Huesca;28
22005121;SAN LORENZO;Zona C.F. Grado Medio (H);Hoya de Huesca;Huesca;Huesca;87
22005121;SAN LORENZO;Zona C.F. Grado Superior (H);Hoya de Huesca;Huesca;Huesca;131
22005121;SAN LORENZO;Zona PCPI Huesca;Hoya de Huesca;Huesca;Huesca;10
22005145;ESCUELA DE ARTE DE HUESCA;Zona Huesca BTO Arte;Hoya de Huesca;Huesca;Huesca;122
22005157;LA ALEGRÍA;Zona Educación Especial (H);Cinca Medio;Monzón;Huesca;54
22005157;LA ALEGRÍA;Zona PCPI Huesca;Cinca Medio;Monzón;Huesca;6
22005200;PEDRO J. RUBIO;Zona Huesca 2;Hoya de Huesca;Huesca;Huesca;619
22005340;VALLE DEL GUARGA;Zona Aineto;Alto Gallego;Sabiñánigo;Huesca;10
22005388;SIERRA DE SAN QUÍLEZ;Zona Binéfar 1;La Litera;Binéfar;Huesca;532
22005388;SIERRA DE SAN QUÍLEZ;Zona C.F. Grado Básico (H);La Litera;Binéfar;Huesca;41
22005388;SIERRA DE SAN QUÍLEZ;Zona C.F. Grado Medio (H);La Litera;Binéfar;Huesca;57
22005388;SIERRA DE SAN QUÍLEZ;Zona C.F. Grado Superior (H);La Litera;Binéfar;Huesca;19
22005391;LA LLITERA;Zona C.F. Grado Básico (H);La Litera;Tamarite de Litera;Huesca;10
22005391;LA LLITERA;Zona C.F. Grado Medio (H);La Litera;Tamarite de Litera;Huesca;34
22005391;LA LLITERA;Zona C.F. Grado Superior (H);La Litera;Tamarite de Litera;Huesca;19
22005391;LA LLITERA;Zona Tamarite de Litera;La Litera;Tamarite de Litera;Huesca;327
22005406;SOBRARBE;Zona Aínsa-Sobrarbe;Sobrarbe;Aínsa-Sobrarbe;Huesca;326
22005406;SOBRARBE;Zona C.F. Grado Medio (H);Sobrarbe;Aínsa-Sobrarbe;Huesca;31
22005431;DE PAÚLES DE SARSA;Zona Paules de Sarsa;Sobrarbe;Aínsa-Sobrarbe;Huesca;6
22005674;LA LLITERA;Zona Albelda;La Litera;Albelda;Huesca;102
22005686;MONTESNEGROS;Zona Peñalba;Monegros;Peñalba;Huesca;78
22005698;A REDOLADA;Zona Peralta de Alcofea;Somontano de Barbastro;Peralta de Alcofea;Huesca;53
22005704;BAJA RIBAGORZA;Zona Capella;Ribagorza;Capella;Huesca;73
22005716;ESTADILLA-FONZ;Zona Fonz;Cinca Medio;Fonz;Huesca;133
22005728;MONTEARAGÓN;Zona Chimillas;Hoya de Huesca;Chimillas;Huesca;243
22005731;ALTO GÁLLEGO;Zona Biescas;Alto Gallego;Biescas;Huesca;257
22005741;EL TRÉBOL;Zona Binaced;Cinca Medio;Binaced;Huesca;186
22005765;PIRINEOS;Zona C.F. Grado Básico (H);Jacetania;Jaca;Huesca;16
22005765;PIRINEOS;Zona C.F. Grado Medio (H);Jacetania;Jaca;Huesca;63
22005765;PIRINEOS;Zona C.F. Grado Superior (H);Jacetania;Jaca;Huesca;15
22005765;PIRINEOS;Zona Jaca;Jacetania;Jaca;Huesca;282
22005789;RÍO ARAGÓN;Zona Puente la Reina de Jaca;Jacetania;Santa Cilia;Huesca;172
22005807;RIBERA DEL CINCA;Zona Torrente de Cinca;Bajo Cinca;Torrente de Cinca;Huesca;120
22005819;DE ALTORRICÓN;Zona Altorricón;La Litera;Altorricón;Huesca;151
22005820;ARCO IRIS;Zona Conchel;Cinca Medio;Monzón;Huesca;139
22005832;ALBEOS;Zona Belver de Cinca;Bajo Cinca;Belver de Cinca;Huesca;214
22005844;VIOLADA MONEGROS;Zona Tardienta;Monegros;Tardienta;Huesca;187
22005856;LA SABINA;Zona Robres;Monegros;Robres;Huesca;76
22005868;MONEGROS-HOYA;Zona Lalueza;Monegros;Lalueza;Huesca;85
22005881;ALTA RIBAGORZA;Zona Benasque;Ribagorza;Benasque;Huesca;307
22006083;PIRÁMIDE;Zona Almudévar;Hoya de Huesca;Almudévar;Huesca;86
22006095;DE CASTEJÓN DE SOS;Zona Castejón de Sos;Ribagorza;Castejón de Sos;Huesca;178
22006101;MONTES NEGROS;Zona Grañén;Monegros;Grañén;Huesca;94
22006113;CINCA-ALCANADRE;Zona Alcolea de Cinca;Cinca Medio;Alcolea de Cinca;Huesca;155
22006125;BIELLO ARAGÓN;Zona Biescas;Alto Gallego;Biescas;Huesca;58
22006137;VALLE DE BENASQUE;Zona Benasque;Ribagorza;Benasque;Huesca;32
22010001;SAN JORGE;Zona Educación Especial (H);Hoya de Huesca;Huesca;Huesca;44
22010323;PIRINEOS-PYRÉNÉES;Zona Huesca 1;Hoya de Huesca;Huesca;Huesca;574
22010712;PIRÁMIDE;Zona C.F. Grado Medio (H);Hoya de Huesca;Huesca;Huesca;206
22010712;PIRÁMIDE;Zona C.F. Grado Superior (H);Hoya de Huesca;Huesca;Huesca;286
22010839;MONZÓN III;Zona Monzon 2;Cinca Medio;Monzón;Huesca;330
22010876;MARÍA MOLINER;Zona Fraga 1;Bajo Cinca;Fraga;Huesca;315
22010967;KATIA ACÍN;Zona Binéfar 1;La Litera;Binéfar;Huesca;108
22010980;BENABARRE;Zona Benabarre;Ribagorza;Benabarre;Huesca;125
22010992;ARÉN;Zona Arén;Ribagorza;Arén;Huesca;15
22011005;MONTANUY;Zona Montanuy;Ribagorza;Montanuy;Huesca;20
44000121;ROMÁN GARCÍA;Zona Albalate del Arzobispo;Bajo Martín;Albalate del Arzobispo;Teruel;176
44000246;EMILIO DÍAZ;Zona Alcañiz;Bajo Aragón;Alcañiz;Teruel;630
44000261;SAN VALERO;Zona Alcañiz;Bajo Aragón;Alcañiz;Teruel;277
44000271;LA INMACULADA;Zona Alcañiz;Bajo Aragón;Alcañiz;Teruel;278
44000325;EL JUSTICIA DE ARAGÓN;Zona Alcorisa;Bajo Aragón;Alcorisa;Teruel;314
44000465;JUAN RAMÓN ALEGRE;Zona Andorra;Andorra - Sierra de Arcos;Andorra;Teruel;378
44000799;RICARDO MALLÉN;Zona Calamocha;Jiloca;Calamocha;Teruel;438
44000829;VIRGEN DEL PILAR;Zona Calanda;Bajo Aragón;Calanda;Teruel;292
44001159;ASTRÓNOMO ZARZOSO;Zona Cella;Teruel;Cella;Teruel;189
44001378;ANTONIO GARGALLO MOYA;Zona Escucha;Cuencas mineras;Escucha;Teruel;57
44001706;LUIS TURÓN;Zona Híjar;Bajo Martín;Híjar;Teruel;141
44002061;VALERO SERRANO;Zona Mas de las Matas;Bajo Aragón;Mas de las Matas;Teruel;91
44002152;NTRA. SRA. DEL PILAR;Zona Monreal del Campo;Jiloca;Monreal del Campo;Teruel;290
44002191;COMARCA CUENCAS MINERAS;Zona Montalbán;Cuencas mineras;Montalbán;Teruel;103
44002221;SAN MIGUEL;Zona Mora de Rubielos;Gúdar - Javalambre;Mora de Rubielos;Teruel;132
44002541;TERUEL UNO;Zona Perales del Alfambra;Teruel;Perales del Alfambra;Teruel;98
44002942;DE SARRIÓN;Zona Sarrión;Gúdar - Javalambre;Sarrión;Teruel;141
44003028;DE SAN BLAS;Zona C.F. Grado Básico (T);Teruel;Teruel;Teruel;19
44003028;DE SAN BLAS;Zona C.F. Grado Medio (T);Teruel;Teruel;Teruel;123
44003028;DE SAN BLAS;Zona C.F. Grado Superior (T);Teruel;Teruel;Teruel;97
44003041;LA SALLE-SAN JOSÉ;Zona Teruel 1;Teruel;Teruel;Teruel;421
44003041;LA SALLE-SAN JOSÉ;Zona Teruel 1 ESO;Teruel;Teruel;Teruel;196
44003077;LAS VIÑAS;Zona Teruel 3 ESO;Teruel;Teruel;Teruel;202
44003077;LAS VIÑAS;Zona Teruel 4;Teruel;Teruel;Teruel;352
44003090;PIERRES VEDEL;Zona Teruel 3;Teruel;Teruel;Teruel;152
44003107;MIGUEL VALLÉS;Zona Teruel 3;Teruel;Teruel;Teruel;253
44003120;LAS ANEJAS;Zona Teruel 4;Teruel;Teruel;Teruel;604
44003156;VICTORIA DÍEZ;Zona Teruel 2;Teruel;Teruel;Teruel;174
44003156;VICTORIA DÍEZ;Zona Teruel 2 ESO;Teruel;Teruel;Teruel;92
44003171;LA PURÍSIMA Y SANTOS MÁRTIRES;Zona Teruel 2 ESO;Teruel;Teruel;Teruel;96
44003171;LA PURÍSIMA Y SANTOS MÁRTIRES;Zona Teruel 3;Teruel;Teruel;Teruel;172
44003211;SANTA EMERENCIANA;Zona C.F. Grado Básico (T);Teruel;Teruel;Teruel;8
44003211;SANTA EMERENCIANA;Zona C.F. Grado Medio (T);Teruel;Teruel;Teruel;166
44003211;SANTA EMERENCIANA;Zona C.F. Grado Superior (T);Teruel;Teruel;Teruel;184
44003211;SANTA EMERENCIANA;Zona Teruel 2 ESO;Teruel;Teruel;Teruel;289
44003211;SANTA EMERENCIANA;Zona Teruel BTO;Teruel;Teruel;Teruel;153
44003223;SEGUNDO DE CHOMÓN;Zona C.F. Grado Básico (T);Teruel;Teruel;Teruel;56
44003223;SEGUNDO DE CHOMÓN;Zona C.F. Grado Medio (T);Teruel;Teruel;Teruel;212
44003223;SEGUNDO DE CHOMÓN;Zona C.F. Grado Superior (T);Teruel;Teruel;Teruel;148
44003223;SEGUNDO DE CHOMÓN;Zona Teruel 1 ESO;Teruel;Teruel;Teruel;313
44003223;SEGUNDO DE CHOMÓN;Zona Teruel BTO;Teruel;Teruel;Teruel;139
44003235;VEGA DEL TURIA;Zona C.F. Grado Básico (T);Teruel;Teruel;Teruel;18
44003235;VEGA DEL TURIA;Zona C.F. Grado Medio (T);Teruel;Teruel;Teruel;317
44003235;VEGA DEL TURIA;Zona C.F. Grado Superior (T);Teruel;Teruel;Teruel;86
44003235;VEGA DEL TURIA;Zona Teruel 2 ESO;Teruel;Teruel;Teruel;261
44003235;VEGA DEL TURIA;Zona Teruel BTO;Teruel;Teruel;Teruel;189
44003247;FRANCÉS DE ARANDA;Zona C.F. Grado Básico (T);Teruel;Teruel;Teruel;11
44003247;FRANCÉS DE ARANDA;Zona C.F. Grado Medio (T);Teruel;Teruel;Teruel;63
44003247;FRANCÉS DE ARANDA;Zona C.F. Grado Superior (T);Teruel;Teruel;Teruel;119
44003247;FRANCÉS DE ARANDA;Zona Teruel 3 ESO;Teruel;Teruel;Teruel;319
44003247;FRANCÉS DE ARANDA;Zona Teruel BTO;Teruel;Teruel;Teruel;141
44003259;ARBOLEDA;Zona Educación Especial (T);Teruel;Teruel;Teruel;45
44003259;ARBOLEDA;Zona PCPI Teruel;Teruel;Teruel;Teruel;10
44003272;ENSANCHE;Zona Teruel 2;Teruel;Teruel;Teruel;550
44003284;ESCUELA DE ARTE DE TERUEL;Zona Teruel BTO Arte;Teruel;Teruel;Teruel;52
44003636;VILLA DE UTRILLAS;Zona Utrillas;Cuencas mineras;Utrillas;Teruel;245
44003715;VICENTE FERRER RAMOS;Zona Valderrobres;Matarraña;Valderrobres;Teruel;218
44004045;VALLE DEL JILOCA;Zona C.F. Grado Básico (T);Jiloca;Calamocha;Teruel;17
44004045;VALLE DEL JILOCA;Zona C.F. Grado Medio (T);Jiloca;Calamocha;Teruel;12
44004045;VALLE DEL JILOCA;Zona Calamocha;Jiloca;Calamocha;Teruel;321
44004148;GLORIA FUERTES;Zona Educación Especial (T);Andorra - Sierra de Arcos;Andorra;Teruel;64
44004148;GLORIA FUERTES;Zona PCPI Teruel;Andorra - Sierra de Arcos;Andorra;Teruel;17
44004239;PEDRO LAÍN ENTRALGO;Zona Híjar;Bajo Martín;Híjar;Teruel;170
44004306;LA FUENFRESCA;Zona Teruel 1;Teruel;Teruel;Teruel;595
44004471;REGALLO;Zona Puigmoreno;Bajo Aragón;Alcañiz;Teruel;30
44004483;JAVALAMBRE;Zona Manzanera;Gúdar - Javalambre;Manzanera;Teruel;126
44004495;SIERRA DE ALBARRACÍN;Zona Tramacastilla;Albarracín;Tramacastilla;Teruel;53
44004550;FERNANDO LÁZARO CARRETER;Zona C.F. Grado Básico (T);Cuencas mineras;Utrillas;Teruel;24
44004550;FERNANDO LÁZARO CARRETER;Zona C.F. Grado Medio (T);Cuencas mineras;Utrillas;Teruel;47
44004550;FERNANDO LÁZARO CARRETER;Zona C.F. Grado Superior (T);Cuencas mineras;Utrillas;Teruel;36
44004550;FERNANDO LÁZARO CARRETER;Zona Utrillas;Cuencas mineras;Utrillas;Teruel;246
44004562;MANUEL FRANCO ROYO;Zona Andorra;Andorra - Sierra de Arcos;Andorra;Teruel;213
44004598;MATARRAÑA;Zona C.F. Grado Básico (T);Matarraña;Valderrobres;Teruel;19
44004598;MATARRAÑA;Zona C.F. Grado Medio (T);Matarraña;Valderrobres;Teruel;29
44004598;MATARRAÑA;Zona Valderrobres;Matarraña;Valderrobres;Teruel;372
44004616;MAESTRAZGO GÚDAR;Zona Mosqueruela;Gúdar - Javalambre;Mosqueruela;Teruel;77
44004628;TURIA;Zona San Blas;Teruel;Teruel;Teruel;167
44004653;PABLO SERRANO;Zona Andorra Secundaria;Andorra - Sierra de Arcos;Andorra;Teruel;407
44004653;PABLO SERRANO;Zona C.F. Grado Básico (T);Andorra - Sierra de Arcos;Andorra;Teruel;50
44004653;PABLO SERRANO;Zona C.F. Grado Medio (T);Andorra - Sierra de Arcos;Andorra;Teruel;61
44004653;PABLO SERRANO;Zona C.F. Grado Superior (T);Andorra - Sierra de Arcos;Andorra;Teruel;80
44004665;SALVADOR VICTORIA;Zona C.F. Grado Básico (T);Jiloca;Monreal del Campo;Teruel;21
44004665;SALVADOR VICTORIA;Zona C.F. Grado Medio (T);Jiloca;Monreal del Campo;Teruel;20
44004665;SALVADOR VICTORIA;Zona Monreal del Campo;Jiloca;Monreal del Campo;Teruel;193
44004677;PABLO ANTONIO CRESPO;Zona Aliaga;Cuencas mineras;Aliaga;Teruel;54
44004689;GOYA;Zona Caminreal;Jiloca;Caminreal;Teruel;118
44004690;ALTO MAESTRAZGO;Zona Cantavieja;Maestrazgo;Cantavieja;Teruel;126
44004707;SOMONTANO-BAJO ARAGÓN;Zona Mata de los Olmos (La);Bajo Aragón;Mata de los Olmos (La);Teruel;84
44004719;PALMIRA PLÁ;Zona Cedrillas;Teruel;Cedrillas;Teruel;91
44004720;ARIÑO-ALLOZA;Zona Ariño;Andorra - Sierra de Arcos;Ariño;Teruel;70
