Cód. RCD Centro;Centro;Zona;Comarca;Municipio;Provincia;Nº Matriculados
22000056;VERO-ALCANADRE;Zona Adahuesca;Somontano de Barbastro;Adahuesca;Huesca;132
22000071;ASUNCIÓN PAÑART MONTANER;Zona Aínsa-Sobrarbe;Sobrarbe;Aínsa-Sobrarbe;Huesca;278
22000251;JOSÉ MANUEL BLECUA;Zona Alcolea de Cinca;Cinca Medio;Alcolea de Cinca;Huesca;87
22000299;SANTOS SAMPER SARASA;Zona Almudévar;Hoya de Huesca;Almudévar;Huesca;196
22000585;RAMÓN Y CAJAL;Zona Ayerbe;Hoya de Huesca;Ayerbe;Huesca;189
22000706;FRANCISCO GALIAY SARAÑANA;Zona Ballobar;Bajo Cinca;Ballobar;Huesca;67
22000721;ALTO ARAGÓN;Zona Barbastro 1;Somontano de Barbastro;Barbastro;Huesca;384
22000731;LA MERCED;Zona Barbastro 2;Somontano de Barbastro;Barbastro;Huesca;361
22000767;SAN VICENTE DE PAÚL;Zona Barbastro;Somontano de Barbastro;Barbastro;Huesca;95
22000767;SAN VICENTE DE PAÚL;Zona Barbastro 2;Somontano de Barbastro;Barbastro;Huesca;187
22000779;SAN JOSÉ DE CALASANZ;Zona Barbastro;Somontano de Barbastro;Barbastro;Huesca;145
22000779;SAN JOSÉ DE CALASANZ;Zona Barbastro 1;Somontano de Barbastro;Barbastro;Huesca;204
22000779;SAN JOSÉ DE CALASANZ;Zona C.F. Grado Básico (H);Somontano de Barbastro;Barbastro;Huesca;16
22000809;HERMANOS ARGENSOLA;Zona Barbastro;Somontano de Barbastro;Barbastro;Huesca;505
22000809;HERMANOS ARGENSOLA;Zona C.F. Grado Básico (H);Somontano de Barbastro;Barbastro;Huesca;15
22000809;HERMANOS ARGENSOLA;Zona C.F. Grado Medio (H);Somontano de Barbastro;Barbastro;Huesca;28
22000809;HERMANOS ARGENSOLA;Zona C.F. Grado Superior (H);Somontano de Barbastro;Barbastro;Huesca;36
22000809;HERMANOS ARGENSOLA;Zona PCPI Huesca;Somontano de Barbastro;Barbastro;Huesca;6
22001073;VÍCTOR MENDOZA MENDOZA;Zona Binéfar 2;La Litera;Binéfar;Huesca;594
22001085;VIRGEN DEL ROMERAL;Zona Binéfar 2;La Litera;Binéfar;Huesca;237
22001191;VIRGEN DE LA SOLEDAD;Zona Bolea;Hoya de Huesca;Sotonera (La);Huesca;24
22001243;ALTO ARA;Zona Broto;Sobrarbe;Broto;Huesca;202
22001358;CERBÍN;Zona Campo;Ribagorza;Campo;Huesca;35
22001437;LOS ARAÑONES;Zona Canfranc;Jacetania;Canfranc;Huesca;26
22001656;RAMÓN J. SENDER;Zona Chalamera;Bajo Cinca;Chalamera;Huesca;4
22001875;MIGUEL SERVET;Zona Fraga 2;Bajo Cinca;Fraga;Huesca;354
22001887;SAN JOSÉ DE CALASANZ;Zona Fraga 1;Bajo Cinca;Fraga;Huesca;437
22001899;SANTA ANA;Zona Fraga;Bajo Cinca;Fraga;Huesca;191
22001899;SANTA ANA;Zona Fraga 1;Bajo Cinca;Fraga;Huesca;395
22001905;LITERA;Zona Litera;Bajo Cinca;Fraga;Huesca;14
22001917;RAMÓN J. SENDER;Zona C.F. Grado Básico (H);Bajo Cinca;Fraga;Huesca;21
22001917;RAMÓN J. SENDER;Zona Fraga;Bajo Cinca;Fraga;Huesca;379
22002016;LA FUEVA;Zona Fueva (La);Sobrarbe;Fueva (La);Huesca;43
22002119;SANTIAGO APÓSTOL;Zona Grañén;Monegros;Grañén;Huesca;119
22002156;JOAQUÍN COSTA;Zona Graus;Ribagorza;Graus;Huesca;327
22002168;BALTASAR GRACIÁN;Zona C.F. Grado Básico (H);Ribagorza;Graus;Huesca;16
22002168;BALTASAR GRACIÁN;Zona Graus;Ribagorza;Graus;Huesca;263
22002302;JUAN XXIII;Zona Huesca 6;Hoya de Huesca;Huesca;Huesca;475
22002338;PÍO XII;Zona Educación Especial (H);Hoya de Huesca;Huesca;Huesca;11
22002338;PÍO XII;Zona Huesca 5;Hoya de Huesca;Huesca;Huesca;243
22002341;SANCHO RAMÍREZ;Zona Huesca 8;Hoya de Huesca;Huesca;Huesca;517
22002351;SAN VICENTE;Zona Huesca 7;Hoya de Huesca;Huesca;Huesca;402
22002417;SANTA ANA;Zona Huesca 7;Hoya de Huesca;Huesca;Huesca;418
22002417;SANTA ANA;Zona Huesca 7 (Secundaria);Hoya de Huesca;Huesca;Huesca;203
22002430;SAN BERNARDO;Zona Huesca 1;Hoya de Huesca;Huesca;Huesca;426
22002430;SAN BERNARDO;Zona Huesca 1 (Secundaria);Hoya de Huesca;Huesca;Huesca;213
22002466;SANTA ROSA - ALTOARAGÓN;Zona Huesca 3;Hoya de Huesca;Huesca;Huesca;426
22002466;SANTA ROSA - ALTOARAGÓN;Zona Huesca 3 (Secundaria);Hoya de Huesca;Huesca;Huesca;210
22002478;SAN VIATOR;Zona Huesca 2;Hoya de Huesca;Huesca;Huesca;394
22002478;SAN VIATOR;Zona Huesca 2 (Secundaria);Hoya de Huesca;Huesca;Huesca;214
22002491;MONTEARAGÓN;Zona C.F. Grado Básico (H);Hoya de Huesca;Huesca;Huesca;49
22002491;MONTEARAGÓN;Zona C.F. Grado Medio (H);Hoya de Huesca;Huesca;Huesca;268
22002491;MONTEARAGÓN;Zona C.F. Grado Superior (H);Hoya de Huesca;Huesca;Huesca;201
22002508;RAMÓN Y CAJAL;Zona C.F. Grado Básico (H);Hoya de Huesca;Huesca;Huesca;28
22002508;RAMÓN Y CAJAL;Zona C.F. Grado Medio (H);Hoya de Huesca;Huesca;Huesca;58
22002508;RAMÓN Y CAJAL;Zona C.F. Grado Superior (H);Hoya de Huesca;Huesca;Huesca;39
22002508;RAMÓN Y CAJAL;Zona Huesca 4 (Secundaria);Hoya de Huesca;Huesca;Huesca;540
22002508;RAMÓN Y CAJAL;Zona Huesca BTO;Hoya de Huesca;Huesca;Huesca;285
22002508;RAMÓN Y CAJAL;Zona Huesca BTO Arte;Hoya de Huesca;Huesca;Huesca;13
22002511;PIRÁMIDE;Zona C.F. Grado Básico (H);Hoya de Huesca;Huesca;Huesca;29
22002511;PIRÁMIDE;Zona Educación Especial (H);Hoya de Huesca;Huesca;Huesca;10
22002511;PIRÁMIDE;Zona Huesca 2 (Secundaria);Hoya de Huesca;Huesca;Huesca;636
22002511;PIRÁMIDE;Zona Huesca BTO;Hoya de Huesca;Huesca;Huesca;265
22002511;PIRÁMIDE;Zona PCPI Huesca;Hoya de Huesca;Huesca;Huesca;11
22002521;SIERRA DE GUARA;Zona C.F. Grado Básico (H);Hoya de Huesca;Huesca;Huesca;31
22002521;SIERRA DE GUARA;Zona C.F. Grado Medio (H);Hoya de Huesca;Huesca;Huesca;399
