codmodalidad;alMujer;alHombre
ADG201;28;31
ADG301;22;32
AFD301;9;51
COM201;19;37
ELE202;2;41
ELE203;2;53
FPB102;0;25
FPB104;3;19
FPB106;2;22
FPB109;15;13
SAN201;55;5
SAN202;44;8
SAN304;54;6
TMV202;2;50
