provincia;alLAPURISIMAPARANINOSSORDOS;alSANTAEMERENCIANA;alMIGUELCATALAN;alJOSEMORDEFUENTES;alMARIAAUXILIADORA;alFERNANDOLAZAROCARRETER;alBENJAMINJARNES;alPABLOSERRANO;alLEONARDODECHABACIER;alCORONADEARAGON;alSANVICENTEDEPAUL;alCABANAS;alBAJOARAGON;alGALLICUM;alTUBALCAIN;alCONDESDEARAGON;alMARDEARAGON;alELBUENPASTOR;alITACA;alPEDROCERRADA;alSIGLOXXI;alRAMONYCAJAL;alBAJOCINCA;alRODANAS;alTIEMPOSMODERNOS;alRAMONJSENDER;alLASALLESANTOANGEL;alMIRALBUENO;alSANVALERO;alSEGUNDODECHOMON;alACADEMIAMARCO;alJOSEMANUELBLECUA;alSALESIANOSLAVIAGACASTILLO;alSALESIANONTRASRADELPILAR;alOBRADIOCESANASANTODOMINGODESILOS;alSANTAAGATOCLIA;alSANTODOMINGOSAVIO;alSIERRADESANQUILEZ;alMONTEARAGON;alSALVADORVICTORIA;alESCOLAPIASSANTAENGRACIA;alFELIXDEAZARA;alMIGUELDEMOLINOS;alVEGADELTURIA;alANGELSANZBRIZ;alCEFORIZQUIERDO;alPIRAMIDE;alSANLORENZO;alJUANDELANUZA;alNTRASRADEGUAYENTE
Huesca;0;0;0;155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;125;0;0;21;0;0;0;0;0;0;0;0;0;0;175;93;454;0;0;0;0;0;0;0;410;177;0;36
Teruel;0;363;0;0;0;112;0;161;0;0;0;0;553;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;380;0;0;0;0;0;0;0;0;0;38;0;0;0;390;0;0;0;0;0;0
Zaragoza;25;0;580;0;138;0;99;502;135;1184;83;79;0;139;258;154;197;138;383;280;153;0;0;99;403;0;195;743;540;0;530;100;167;625;650;26;0;0;0;0;241;24;24;0;25;302;0;0;51;0
