codmodalidad;alMujer;alHombre
ELE203;2;25
EOC303;5;7
FME203;1;44
FME301;1;40
FPB102;0;21
FPB105;12;10
FPB106;2;22
FPB125;0;20
HOT201;42;53
HOT203;22;21
HOT301;103;36
HOT302;30;19
HOT304;8;27
HOT305;25;31
MVA302;1;14
TMV201;2;31
TMV202;4;47
TMV302;0;15
