codmodalidad;alMujer;alHombre
ADG201;25;24
ADG301;24;36
ELE203;2;48
ELE301;1;48
FME203;1;49
FME301;1;39
FME304;1;33
FPB102;0;19
FPB103;0;27
IFC302;2;49
TMV202;0;54
TMV301;3;54
