codmodalidad;alMujer;alHombre
ADG201;34;26
ADG301;151;40
ADG302;134;19
ELE202;7;84
ELE302;4;40
EOC301;18;26
EOC302;4;21
FME202;3;71
FME304;2;47
FPB101;13;10
FPB102;0;22
IMA302;2;88
QUI201;36;25
QUI301;111;55
QUI304;9;45
QUI306;20;17
