codmodalidad;alMujer;alHombre
ADG201;51;37
ADG301;45;36
ELE202;0;8
ELE203;1;24
ELE301;1;29
ELE303;0;19
ENA302;0;15
FPB101;26;15
FPB102;1;40
FPB105;6;10
HOT201;4;7
IFC201;6;74
IFC301;19;127
IFC302;5;57
