provincia;alFPB101;alFPB102;alFPB103;alFPB104;alFPB105;alFPB106;alFPB107;alFPB108;alFPB109;alFPB110;alFPB111;alFPB112;alFPB115;alFPB116;alFPB117;alFPB119;alFPB121;alFPB124;alFPB125;alFPB126;alADG201;alAFD201;alAGA201;alAGA204;alAGA205;alARG202;alARG203;alCOM201;alELE202;alELE203;alEOC203;alFME201;alFME202;alFME203;alHOT201;alHOT203;alIEX201;alIFC201;alIMA201;alIMA202;alIMA203;alIMP202;alIMP203;alINA201;alINA204;alMAM201;alMAM202;alQUI201;alQUI204;alSAN201
Huesca;19;26;62;35;36;61;0;1;0;0;0;0;0;19;0;0;33;0;0;0;91;19;34;15;62;0;0;18;121;22;0;0;34;30;35;23;0;118;40;12;18;0;4;6;0;0;0;7;19;18
Teruel;29;52;18;24;45;49;0;7;0;16;0;0;0;22;0;4;9;0;15;0;79;25;16;0;45;0;0;0;78;0;0;0;0;0;38;12;0;97;20;6;12;0;0;7;0;7;17;0;0;36
Zaragoza;196;358;48;144;60;152;49;15;61;30;24;5;31;22;16;10;16;25;49;41;540;73;84;27;91;25;34;119;381;311;13;14;201;179;69;21;11;537;190;40;33;3;19;12;7;12;19;25;0;86
