provincia;alLAPURISIMAPARANINOSSORDOS;alSANTAEMERENCIANA;alMIGUELCATALAN;alJOSEMORDEFUENTES;alMARIAAUXILIADORA;alFERNANDOLAZAROCARRETER;alBENJAMINJARNES;alPABLOSERRANO;alLEONARDODECHABACIER;alCORONADEARAGON;alSANVICENTEDEPAUL;alCABANAS;alBAJOARAGON;alGALLICUM;alTUBALCAIN;alCONDESDEARAGON;alMARDEARAGON;alELBUENPASTOR;alITACA;alPEDROCERRADA;alSIGLOXXI;alRAMONYCAJAL;alBAJOCINCA;alRODANAS;alTIEMPOSMODERNOS;alRAMONJSENDER;alLASALLESANTOANGEL;alMIRALBUENO;alSANVALERO;alSEGUNDODECHOMON;alACADEMIAMARCO;alJOSEMANUELBLECUA;alSALESIANOSLAVIAGACASTILLO;alSALESIANONTRASRADELPILAR;alOBRADIOCESANASANTODOMINGODESILOS;alSANTAAGATOCLIA;alSANTODOMINGOSAVIO;alSIERRADESANQUILEZ;alMONTEARAGON;alSALVADORVICTORIA;alESCOLAPIASSANTAENGRACIA;alFELIXDEAZARA;alMIGUELDEMOLINOS;alVEGADELTURIA;alANGELSANZBRIZ;alCEFORIZQUIERDO;alPIRAMIDE;alSANLORENZO;alJUANDELANUZA;alNTRASRADEGUAYENTE
Huesca;0;0;0;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;49;0;0;21;0;0;0;0;0;0;0;0;0;0;125;55;258;0;0;0;0;0;0;0;327;102;0;25
Teruel;0;87;0;0;0;67;0;109;0;0;0;0;385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;339;0;0;0;0;0;0;0;0;0;36;0;0;0;124;0;0;0;0;0;0
Zaragoza;13;0;140;0;58;0;67;389;47;636;21;23;0;91;193;98;124;67;258;220;124;0;0;48;255;0;188;483;480;0;202;72;163;595;393;19;0;0;0;0;46;24;22;0;20;186;0;0;20;0
