codmodalidad;alMujer;alHombre
ADG201;28;31
ADG302;20;7
ELE202;0;38
ELE302;0;24
FPB101;14;7
FPB102;0;19
FPB106;0;26
IFC201;1;40
IFC302;18;57
IFC303;0;17
SAN201;68;28
SAN304;17;2
TMV202;1;45
TMV301;1;44
