provincia;alFPB101;alFPB102;alFPB103;alFPB104;alFPB105;alFPB106;alFPB107;alFPB108;alFPB109;alFPB110;alFPB111;alFPB112;alFPB115;alFPB116;alFPB117;alFPB119;alFPB121;alFPB124;alFPB125;alFPB126;alADG201;alAFD201;alAGA201;alAGA204;alAGA205;alARG202;alARG203;alCOM201;alELE202;alELE203;alEOC203;alFME201;alFME202;alFME203;alHOT201;alHOT203;alIEX201;alIFC201;alIMA201;alIMA202;alIMA203;alIMP202;alIMP203;alINA201;alINA204;alMAM201;alMAM202;alQUI201;alQUI204;alSAN201
Huesca;39;1;0;10;31;5;0;10;0;0;0;0;0;2;0;0;12;0;0;0;212;8;5;1;5;0;0;13;0;1;0;0;0;0;23;16;0;14;1;0;0;0;16;6;0;0;0;20;5;129
Teruel;48;1;2;0;24;0;0;9;0;1;0;0;0;2;0;6;1;0;0;0;154;15;2;0;5;0;0;0;0;0;0;0;0;0;27;7;0;6;0;0;0;0;19;7;0;0;1;0;0;164
Zaragoza;212;5;0;23;39;6;27;110;108;0;1;20;1;5;10;5;7;2;0;5;791;32;21;10;17;21;27;96;20;13;1;0;9;5;60;22;1;63;7;0;1;150;125;8;5;2;1;36;0;632
