codmodalidad;alZaragoza;alTeruel;alHuesca
ADG201;1331;233;303
ADG301;1168;95;197
ADG302;153;27;0
AFD201;105;40;27
AFD301;212;30;58
AFD302;50;26;24
AGA201;105;18;39
AGA204;37;0;16
AGA205;108;50;67
AGA302;105;61;101
AGA303;48;0;24
AGA304;0;0;49
ARG202;46;0;0
ARG203;61;0;0
ARG301;56;0;0
COM201;215;0;31
COM301;222;0;0
COM302;143;0;0
COM303;212;22;0
COM304;276;0;25
ELE202;401;78;121
ELE203;324;0;23
ELE301;109;0;0
ELE302;91;24;24
ELE303;189;52;55
ELE304;153;0;6
ELE305;39;0;0
ENA301;30;0;7
ENA302;0;15;39
EOC203;14;0;0
EOC301;44;0;13
EOC302;25;0;0
EOC303;12;0;0
FME201;14;0;0
FME202;210;0;34
FME203;184;0;30
FME301;81;0;0
FME302;45;0;0
FME304;153;0;0
FME305;14;0;0
FPB101;408;77;58
FPB102;363;53;27
FPB103;48;20;62
FPB104;167;24;45
FPB105;99;69;67
FPB106;158;49;66
FPB107;76;0;0
FPB108;125;16;11
FPB109;169;0;0
FPB110;30;17;0
FPB111;25;0;0
FPB112;25;0;0
FPB115;32;0;0
FPB116;27;24;21
FPB117;26;0;0
FPB119;15;10;0
FPB121;23;10;45
FPB124;27;0;0
FPB125;49;15;0
FPB126;46;0;0
HOT201;129;65;58
HOT203;43;19;39
HOT301;139;0;0
HOT302;49;0;17
HOT304;35;21;12
HOT305;56;31;56
IEX201;12;0;0
IFC201;600;103;132
IFC301;340;0;38
IFC302;523;101;64
IFC303;328;17;38
IMA201;197;20;41
IMA202;40;6;12
IMA203;34;12;18
IMA301;28;0;10
IMA302;332;20;10
IMP202;153;0;0
IMP203;144;19;20
IMP301;52;0;0
IMP302;49;0;0
IMP303;42;0;12
IMS302;116;0;0
IMS303;63;0;13
IMS304;0;0;39
INA201;20;14;12
INA204;12;0;0
INA301;57;0;0
INA302;31;0;0
MAM201;14;7;0
MAM202;20;18;0
MAM301;18;0;0
MSP304;36;0;0
MVA302;15;15;0
QUI201;61;0;27
QUI204;0;0;24
QUI301;166;0;47
QUI304;54;0;0
QUI306;37;0;0
SAN201;718;200;147
SAN202;292;32;0
SAN203;180;161;0
SAN301;57;0;0
SAN302;48;0;0
SAN303;51;0;34
SAN304;120;50;53
SAN305;59;0;0
SAN306;186;41;0
SAN308;38;0;0
SAN309;59;0;0
SAN310;31;0;0
SEA201;30;38;0
SEA301;0;16;13
SEA302;0;38;0
SSC201;387;95;157
SSC301;48;0;0
SSC302;447;38;188
SSC303;230;36;0
SSC304;42;22;0
SSC305;48;0;0
TCP202;30;0;0
TCP301;57;0;0
TMV201;127;0;38
TMV202;369;96;70
TMV204;39;37;0
TMV301;196;82;46
TMV302;15;18;0
