nombrecentro;pctextranjeros
VIRGEN DE LA PEANA;24.7312
JOSÉ CAMÓN AZNAR;24.5614
ATADES, CENTRO DE EDUCACIÓN ESPECIAL SAN MARTÍN DE PORRES;24.5283
RAMÓN Y CAJAL;24.3902
CABAÑAS;24.1758
MONEGROS NORTE;24.1379
RAMÓN J. SENDER;24.1206
JERÓNIMO ZURITA;24.0385
FABARA-NONASPE DOS AGUAS;23.913
DIEGO ESCOLANO;23.913
ALBEOS;23.8739
AGUSTÍN GERICÓ;23.8487
SEGEDA;23.8095
AYUNTAMIENTO DE ZARAGOZA (INSTITUTO MUNICIPAL DE EMPLEO Y FOMENTO EMPRESARIAL);23.7374
BELIA;23.7113
ALBERTO GALINDO;23.6842
FRANCISCO DE GOYA;23.3803
PUERTA DE SANCHO;23.3628
MIRAFLORES;23.3487
ORBA;23.2877
EMILIO DÍAZ;23.2258
CUEVAS DEL JALÓN;22.8571
SANTA ANA;22.7273
SAN VICENTE;22.3058
AUGUSTA BÍLBILIS;22.2857
LA MERCED;21.9718
CUNA DEL JILOCA;21.8978
SANCHO RAMÍREZ;21.875
VALLE DEL HUECHA;21.7391
DEL EBRO;21.6495
LA PIRAÑA;21.5517
FRANCISCO GRANDE COVIÁN;21.4286
NTRA. SRA. DE LA MERCED;21.3592
JOAQUÍN COSTA;21.2919
FUNDACIÓN PICARRAL;21.2121
MONTES NEGROS;21
SAN MIGUEL;20.8494
LUIS BUÑUEL;20.8333
FÉLIX DE AZARA;20.8223
SAN LORENZO;20.8145
PLUS ULTRA;20.7317
JOAQUÍN COSTA;20.5696
LA HUECHA;20.5607
GALLICUM;20.4797
ALTO MAESTRAZGO;20.4545
VIRGEN DEL PORTAL;20.4225
JOSÉ MANUEL BLECUA;20.3915
ANTONIO MARTÍNEZ GARAY;20.3593
DE TAUSTE;20.3125
EL BOSQUE;20.2703
ASUNCIÓN PAÑART MONTANER;20.073
DE PERALTA DE ALCOFEA;20
DE FUENDEJALÓN;20
DE ALPARTIR;20
SANTIAGO HERNÁNDEZ;19.751
RAMÓN Y CAJAL;19.685
JUAN RAMÓN ALEGRE;19.6474
PEDRO LAÍN ENTRALGO;19.5122
BENJAMÍN JARNÉS;19.5122
NTRA. SRA. DE GUAYENTE;19.4444
JOAQUÍN COSTA;19.2857
VALLE DEL GUADALOPE;19.2661
REGALLO;19.2308
SEGUNDO DE CHOMÓN;19.2308
MARÍA SORIANO;19.1489
SIERRA DE ALBARRACÍN;19.0476
ARCO-IRIS;19.0476
JULIO VERNE;19.0153
SAN MIGUEL;19.0141
ALBORADA;19
A REDOLADA;18.9655
MATARRAÑA;18.961
SALVADOR VICTORIA;18.8525
CEFOR IZQUIERDO;18.8498
ENSANCHE;18.7826
VICORT-ISUELA;18.75
TOMÁS ALVIRA;18.6275
SANTA ANA;18.5882
EL JUSTICIA DE ARAGÓN;18.5759
SAN MIGUEL;18.3824
VILLA DE UTRILLAS;18.3673
L' ALBADA;18.3673
BENJAMÍN JARNÉS;18.3673
BAIX MATARRANYA;18.3486
ARAGÓN;18.3223
CINCO VILLAS;18.2971
OLEA;18.2692
MATARRANYA;18.1818
CAMPO DE BORJA;18.1034
VALLE DEL JILOCA;18.1009
ESCUELA DE HOSTELERÍA DE TERUEL;18.0791
ARIÑO-ALLOZA;18.0556
ARBOLEDA;18
GLORIA FUERTES;18
JOSÉ ANTONIO LABORDETA SUBÍAS;17.8571
ARTE-MISS ZARAGOZA, CENTRO 1;17.7778
DE ALTORRICÓN;17.6871
NINONES;17.6471
DE GRAÑÉN;17.6471
ESCUELA DE EDUCACIÓN INFANTIL DE BOLTAÑA;17.6471
COLORADO COLORÍN;17.6471
LUIS GARCÍA SÁINZ;17.619
JOAQUÍN COSTA;17.5879
RÍO ARBA;17.5166
BAJA RIBAGORZA;17.3913
PABLO SERRANO;17.3647
PEQUEAYUD;17.2414
SIERRA DE SAN QUÍLEZ;17.2355
RAMÓN SÁINZ DE VARANDA;17.0213
PEDRO I;16.9565
RINCÓN DE GOYA;16.9014
ROMÁN GARCÍA;16.8605
RECTOR MAMÉS ESPERABÉ;16.8539
ESCUELAS PÍAS;16.835
BAJO MARTÍN;16.7742
PEDRO SÁNCHEZ CIRUELO;16.763
MONTECORONA;16.7123
DE MAS DE LAS MATAS;16.6667
JUAN SOBRARIAS;16.4706
CERVANTES;16.4384
LUCAS ARRIBAS;16.3265
GASPAR REMIRO;16.2222
LOS IBONES;16.2162
COMARCA CUENCAS MINERAS;16.0714
JOSÉ MANUEL BLECUA;16.0494
ESCOLAPIAS SANTA ENGRACIA;16.0156
MEDINA ALBAIDA;15.9396
BAJO CINCA;15.8513
OBRA DIOCESANA SANTO DOMINGO DE SILOS;15.6265
MARÍA INMACULADA;15.6202
BAJO ARAGÓN;15.6118
DANIEL FEDERIO;15.5556
SANTA ANA;15.5026
MAESTRAZGO GÚDAR;15.493
JOSÉ MOR DE FUENTES;15.4015
JOAQUÍN COSTA;15.3846
MESA-PIEDRA-ALTO CAMPILLO;15.3846
RAMÓN PIGNATELLI;15.342
MONZÓN III;15.3094
LA ALMOZARA;15.212
ACADEMIA MARCO;15.2074
NTRA. SRA. DE LAS MERCEDES;15.2027
LA SABINA;15.1515
MONTESNEGROS;15.1163
ANDALÁN;15.0228
VIRGEN DE LOS RÍOS;15
VILLACAMPA;14.9254
HERMANOS ARGENSOLA;14.8342
SAN VICENTE DE PAÚL;14.8256
GOYA;14.7826
MIGUEL SERVET;14.6985
SAN JORGE;14.6341
FIGUERUELAS;14.5631
LA PURÍSIMA Y SAN ANTONIO;14.5161
GÚDAR-JAVALAMBRE;14.3617
SAN VALERO;14.3345
CINCA-ALCANADRE;14.2857
EL TAMARINDO;14.2857
MEZQUITA DE JARQUE;14.2857
MARÍA MOLINER;14.2857
BLANCANIEVES;14.2857
DE LONGARES;14.2857
LEONARDO DE CHABACIER;14.2379
ÁNGEL SANZ BRIZ;14.2315
MIGUEL VALLÉS;14.1264
SIERRA DE GUARA;14.1198
FUNDACIÓN LABORAL DE LA CONSTRUCCIÓN;14.0625
MARÍA QUINTANA;14.0351
SANTA MARÍA DE LA ESPERANZA;13.986
VIOLADA MONEGROS;13.9785
SANTA MARÍA REINA;13.9683
CERBÍN;13.9535
MARTINA BESCÓS;13.9037
ALDEAS INFANTILES SOS DE ESPAÑA;13.8889
JUAN XXIII;13.8728
MONSALUD;13.8614
MONEGROS-GASPAR LAX;13.7615
GIL TARÍN;13.7532
DE PEDROLA;13.7255
RODANAS;13.6574
RÍO EBRO;13.6364
DE LA MUELA;13.6364
MARÍA URREA;13.5135
LA LLITERA;13.4454
LA CEPA;13.4146
LOS BAÑALES;13.3758
MARÍA DOMÍNGUEZ;13.3333
ALAÚN;13.1148
VEGA DEL TURIA;13.1034
EMILIO JIMENO;13.0779
VICTORIA DÍEZ;13.0435
LAS VIÑAS;13.0435
GALO PONTE;13.0303
DAMIÁN FORMENT;12.9808
GLORIA ARENILLAS;12.9496
PIRINEOS-PYRÉNÉES;12.9088
MIRALBUENO;12.8305
BALTASAR GRACIÁN;12.6984
SEGUNDO DE CHOMÓN;12.6659
LA ESTRELLA;12.5265
LOS ARAÑONES;12.5
ARCO IRIS;12.5
ARÉN;12.5
SIERRA PALOMERA;12.5
