CE;Cód. RCD Centro;Enseñanza (agrupada);Enseñanza (estatal);Enseñanza;Modalidad;Curso;Sexo;Edad;Nº Alumnos
2017/2018;22002168;DEPORTIVAS;Enseñanzas Deportivas Grado Medio;Técnico deportivo en alta montaña;Total;Segundo nivel de las Enseñanzas Deportivas de Grado Medio;Mujer;30 a 39 Años;1
2017/2018;22002168;DEPORTIVAS;Enseñanzas Deportivas Grado Medio;Técnico deportivo en barrancos;Total;Segundo nivel de las Enseñanzas Deportivas de Grado Medio;Hombre;18 Años;1
2017/2018;22002168;DEPORTIVAS;Enseñanzas Deportivas Grado Medio;Técnico deportivo en barrancos;Total;Segundo nivel de las Enseñanzas Deportivas de Grado Medio;Hombre;23 Años;3
2017/2018;22002168;DEPORTIVAS;Enseñanzas Deportivas Grado Medio;Técnico deportivo en barrancos;Total;Segundo nivel de las Enseñanzas Deportivas de Grado Medio;Hombre;24 Años;1
2017/2018;22002168;DEPORTIVAS;Enseñanzas Deportivas Grado Medio;Técnico deportivo en barrancos;Total;Segundo nivel de las Enseñanzas Deportivas de Grado Medio;Hombre;25 a 29 Años;2
2017/2018;22002168;DEPORTIVAS;Enseñanzas Deportivas Grado Medio;Técnico deportivo en barrancos;Total;Segundo nivel de las Enseñanzas Deportivas de Grado Medio;Hombre;30 a 39 Años;2
2017/2018;22002168;DEPORTIVAS;Enseñanzas Deportivas Grado Medio;Técnico deportivo en barrancos;Total;Segundo nivel de las Enseñanzas Deportivas de Grado Medio;Mujer;30 a 39 Años;1
2017/2018;22002168;DEPORTIVAS;Enseñanzas Deportivas Grado Medio;Técnico deportivo en escalada;Total;Segundo nivel de las Enseñanzas Deportivas de Grado Medio;Hombre;24 Años;1
2017/2018;22002168;DEPORTIVAS;Enseñanzas Deportivas Grado Medio;Técnico deportivo en escalada;Total;Segundo nivel de las Enseñanzas Deportivas de Grado Medio;Hombre;25 a 29 Años;1
2017/2018;22002168;DEPORTIVAS;Enseñanzas Deportivas Grado Medio;Técnico deportivo en media montaña;Total;Segundo nivel de las Enseñanzas Deportivas de Grado Medio;Hombre;21 Años;1
2017/2018;22002168;DEPORTIVAS;Enseñanzas Deportivas Grado Medio;Técnico deportivo en media montaña;Total;Segundo nivel de las Enseñanzas Deportivas de Grado Medio;Hombre;23 Años;1
2017/2018;22002168;DEPORTIVAS;Enseñanzas Deportivas Grado Medio;Técnico deportivo en media montaña;Total;Segundo nivel de las Enseñanzas Deportivas de Grado Medio;Hombre;25 a 29 Años;4
2017/2018;22002168;DEPORTIVAS;Enseñanzas Deportivas Grado Medio;Técnico deportivo en media montaña;Total;Segundo nivel de las Enseñanzas Deportivas de Grado Medio;Hombre;30 a 39 Años;18
2017/2018;22002168;DEPORTIVAS;Enseñanzas Deportivas Grado Medio;Técnico deportivo en media montaña;Total;Segundo nivel de las Enseñanzas Deportivas de Grado Medio;Mujer;25 a 29 Años;2
2017/2018;22002168;DEPORTIVAS;Enseñanzas Deportivas Grado Medio;Técnico deportivo en media montaña;Total;Segundo nivel de las Enseñanzas Deportivas de Grado Medio;Mujer;30 a 39 Años;3
2017/2018;22002168;DEPORTIVAS;Enseñanzas Deportivas Grado Superior;Técnico deportivo superior en alta montaña;Total;Total;Hombre;30 a 39 Años;3
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Hombre;12 Años;15
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Hombre;13 Años;10
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Hombre;14 Años;2
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Mujer;12 Años;21
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Mujer;13 Años;4
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Mujer;14 Años;2
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Total;2º ESO;Hombre;13 Años;16
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Total;2º ESO;Hombre;14 Años;10
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Total;2º ESO;Hombre;15 Años;6
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Total;2º ESO;Mujer;13 Años;18
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Total;2º ESO;Mujer;14 Años;7
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Total;2º ESO;Mujer;15 Años;1
2017/2018;22002168;ESO;E.S.O.;E.S.O.;No participa en programas de mejora y del rendimiento;Segundo de E.S.O.;Hombre;13 Años;16
2017/2018;22002168;ESO;E.S.O.;E.S.O.;No participa en programas de mejora y del rendimiento;Segundo de E.S.O.;Hombre;14 Años;7
2017/2018;22002168;ESO;E.S.O.;E.S.O.;No participa en programas de mejora y del rendimiento;Segundo de E.S.O.;Hombre;15 Años;4
2017/2018;22002168;ESO;E.S.O.;E.S.O.;No participa en programas de mejora y del rendimiento;Segundo de E.S.O.;Mujer;13 Años;18
2017/2018;22002168;ESO;E.S.O.;E.S.O.;No participa en programas de mejora y del rendimiento;Segundo de E.S.O.;Mujer;14 Años;7
2017/2018;22002168;ESO;E.S.O.;E.S.O.;No participa en programas de mejora y del rendimiento;Tercero de E.S.O.;Hombre;14 Años;16
2017/2018;22002168;ESO;E.S.O.;E.S.O.;No participa en programas de mejora y del rendimiento;Tercero de E.S.O.;Hombre;15 Años;2
2017/2018;22002168;ESO;E.S.O.;E.S.O.;No participa en programas de mejora y del rendimiento;Tercero de E.S.O.;Hombre;16 Años;4
2017/2018;22002168;ESO;E.S.O.;E.S.O.;No participa en programas de mejora y del rendimiento;Tercero de E.S.O.;Mujer;14 Años;19
2017/2018;22002168;ESO;E.S.O.;E.S.O.;No participa en programas de mejora y del rendimiento;Tercero de E.S.O.;Mujer;15 Años;2
2017/2018;22002168;ESO;E.S.O.;E.S.O.;No participa en programas de mejora y del rendimiento;Tercero de E.S.O.;Mujer;16 Años;1
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Participa en programas de mejora y del rendimiento;Segundo de E.S.O.;Hombre;14 Años;3
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Participa en programas de mejora y del rendimiento;Segundo de E.S.O.;Hombre;15 Años;2
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Participa en programas de mejora y del rendimiento;Segundo de E.S.O.;Mujer;15 Años;1
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Participa en programas de mejora y del rendimiento;Tercero de E.S.O.;Hombre;14 Años;3
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Participa en programas de mejora y del rendimiento;Tercero de E.S.O.;Hombre;15 Años;3
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Participa en programas de mejora y del rendimiento;Tercero de E.S.O.;Hombre;16 Años;2
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Participa en programas de mejora y del rendimiento;Tercero de E.S.O.;Mujer;15 Años;2
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Participa en programas de mejora y del rendimiento;Tercero de E.S.O.;Mujer;16 Años;2
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Opción de enseñanzas académicas;Cuarto de E.S.O.;Hombre;15 Años;12
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Opción de enseñanzas académicas;Cuarto de E.S.O.;Hombre;16 Años;1
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Opción de enseñanzas académicas;Cuarto de E.S.O.;Mujer;15 Años;22
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Opción de enseñanzas académicas;Cuarto de E.S.O.;Mujer;16 Años;3
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Opción de enseñanzas académicas;Cuarto de E.S.O.;Mujer;17 Años;1
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Opción de enseñanzas aplicadas;Cuarto de E.S.O.;Hombre;16 Años;3
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Opción de enseñanzas aplicadas;Cuarto de E.S.O.;Hombre;17 Años;3
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Opción de enseñanzas aplicadas;Cuarto de E.S.O.;Hombre;18 Años;1
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Opción de enseñanzas aplicadas;Cuarto de E.S.O.;Mujer;15 Años;1
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Opción de enseñanzas aplicadas;Cuarto de E.S.O.;Mujer;17 Años;1
2017/2018;22002168;ESO;E.S.O.;E.S.O.;Opción de enseñanzas aplicadas;Cuarto de E.S.O.;Mujer;18 Años;1
2017/2018;22002302;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;3 Años;22
2017/2018;22002302;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;4 Años;24
2017/2018;22002302;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;5 Años;28
2017/2018;22002302;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;3 Años;22
2017/2018;22002302;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;4 Años;31
2017/2018;22002302;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;5 Años;20
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Hombre;6 Años;27
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Mujer;6 Años;23
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Mujer;7 Años;1
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Hombre;7 Años;25
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Hombre;8 Años;1
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Mujer;7 Años;23
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Mujer;8 Años;1
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Hombre;8 Años;36
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Hombre;9 Años;4
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Mujer;8 Años;31
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Mujer;9 Años;1
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Hombre;9 Años;38
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Hombre;10 Años;3
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Mujer;9 Años;29
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Mujer;10 Años;5
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;10 Años;27
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;11 Años;2
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;10 Años;28
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;11 Años;3
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;11 Años;40
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;12 Años;6
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;13 Años;1
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;11 Años;38
2017/2018;22002302;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;12 Años;1
2017/2018;22002338;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;3 Años;10
2017/2018;22002338;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;4 Años;13
2017/2018;22002338;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;5 Años;14
2017/2018;22002338;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;3 Años;14
2017/2018;22002338;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;4 Años;18
2017/2018;22002338;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;5 Años;15
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Hombre;6 Años;12
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Hombre;7 Años;1
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Mujer;6 Años;11
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Mujer;7 Años;1
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Hombre;7 Años;14
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Hombre;8 Años;3
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Mujer;7 Años;12
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Mujer;8 Años;2
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Hombre;8 Años;17
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Hombre;9 Años;4
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Mujer;8 Años;5
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Mujer;9 Años;4
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Hombre;9 Años;6
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Hombre;10 Años;4
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Mujer;9 Años;13
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Mujer;10 Años;5
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;10 Años;7
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;11 Años;2
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;10 Años;8
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;11 Años;7
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;11 Años;9
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;12 Años;4
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;13 Años;1
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;11 Años;10
2017/2018;22002338;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;12 Años;7
2017/2018;22002338;ESP;Educación Especial;Educación Especial;E. Básica (EE);Total;Hombre;11 Años;1
2017/2018;22002338;ESP;Educación Especial;Educación Especial;E. Básica (EE);Total;Hombre;15 Años;1
2017/2018;22002338;ESP;Educación Especial;Educación Especial;E. Básica (EE);Total;Mujer;11 Años;1
2017/2018;22002338;ESP;Educación Especial;Educación Especial;E. Básica (EE);Total;Mujer;12 Años;2
2017/2018;22002338;ESP;Educación Especial;Educación Especial;E. Básica (EE);Total;Mujer;16 Años;2
2017/2018;22002341;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;3 Años;25
2017/2018;22002341;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;4 Años;29
2017/2018;22002341;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;5 Años;36
2017/2018;22002341;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;6 Años;1
2017/2018;22002341;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;3 Años;22
2017/2018;22002341;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;4 Años;35
2017/2018;22002341;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;5 Años;35
2017/2018;22002341;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;6 Años;1
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Hombre;6 Años;24
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Hombre;7 Años;2
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Mujer;6 Años;25
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Mujer;7 Años;3
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Hombre;7 Años;24
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Hombre;8 Años;2
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Mujer;7 Años;20
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Mujer;8 Años;3
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Hombre;8 Años;20
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Hombre;9 Años;10
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Mujer;8 Años;19
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Mujer;9 Años;1
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Hombre;9 Años;29
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Hombre;10 Años;7
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Mujer;9 Años;33
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Mujer;10 Años;8
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Mujer;11 Años;1
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;10 Años;17
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;11 Años;5
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;10 Años;17
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;11 Años;6
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;11 Años;25
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;12 Años;4
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;11 Años;15
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;12 Años;4
2017/2018;22002341;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;13 Años;1
2017/2018;22002351;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;3 Años;16
2017/2018;22002351;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;4 Años;23
2017/2018;22002351;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;5 Años;22
2017/2018;22002351;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;3 Años;17
2017/2018;22002351;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;4 Años;19
2017/2018;22002351;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;5 Años;20
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Hombre;6 Años;29
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Hombre;7 Años;3
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Mujer;6 Años;18
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Hombre;7 Años;22
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Hombre;8 Años;3
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Hombre;9 Años;1
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Mujer;7 Años;16
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Mujer;8 Años;4
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Hombre;8 Años;17
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Hombre;9 Años;4
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Hombre;10 Años;1
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Mujer;8 Años;21
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Mujer;9 Años;6
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Hombre;9 Años;19
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Hombre;10 Años;1
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Hombre;11 Años;1
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Mujer;9 Años;15
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Mujer;10 Años;2
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;10 Años;20
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;11 Años;6
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;10 Años;17
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;11 Años;7
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;11 Años;10
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;12 Años;5
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;11 Años;14
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;12 Años;3
2017/2018;22002351;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;13 Años;1
2017/2018;22002405;EI;Educación Infantil Primer Ciclo;E. Infantil - Primer Ciclo;Total;Total;Hombre;0 Años;1
2017/2018;22002405;EI;Educación Infantil Primer Ciclo;E. Infantil - Primer Ciclo;Total;Total;Hombre;1 Años;19
2017/2018;22002405;EI;Educación Infantil Primer Ciclo;E. Infantil - Primer Ciclo;Total;Total;Hombre;2 Años;34
2017/2018;22002405;EI;Educación Infantil Primer Ciclo;E. Infantil - Primer Ciclo;Total;Total;Mujer;0 Años;1
2017/2018;22002405;EI;Educación Infantil Primer Ciclo;E. Infantil - Primer Ciclo;Total;Total;Mujer;1 Años;18
2017/2018;22002405;EI;Educación Infantil Primer Ciclo;E. Infantil - Primer Ciclo;Total;Total;Mujer;2 Años;30
2017/2018;22002417;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;3 Años;22
2017/2018;22002417;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;4 Años;15
2017/2018;22002417;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Hombre;5 Años;24
2017/2018;22002417;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;3 Años;21
2017/2018;22002417;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;4 Años;29
2017/2018;22002417;EI;Educación Infantil Segundo Ciclo;E. Infantil _ Segundo Ciclo;Total;Total;Mujer;5 Años;26
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Hombre;6 Años;23
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Hombre;7 Años;2
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Primero de E. Primaria;Mujer;6 Años;25
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Hombre;7 Años;16
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Mujer;7 Años;34
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Segundo de E. Primaria;Mujer;8 Años;1
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Hombre;8 Años;22
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Mujer;8 Años;27
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Tercero de E. Primaria;Mujer;9 Años;1
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Hombre;9 Años;19
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Hombre;10 Años;3
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Cuarto de E. Primaria;Mujer;9 Años;27
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;10 Años;19
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Hombre;11 Años;2
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;10 Años;24
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Quinto de E. Primaria;Mujer;11 Años;2
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;11 Años;14
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Hombre;12 Años;3
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;11 Años;28
2017/2018;22002417;EP;E. Primaria;E. Primaria;Total;Sexto de E. Primaria;Mujer;12 Años;4
2017/2018;22002417;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Hombre;12 Años;18
2017/2018;22002417;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Hombre;13 Años;4
2017/2018;22002417;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Mujer;12 Años;27
2017/2018;22002417;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Mujer;13 Años;4
2017/2018;22002417;ESO;E.S.O.;E.S.O.;Total;Primero de E.S.O.;Mujer;14 Años;1
2017/2018;22002417;ESO;E.S.O.;E.S.O.;Total;2º ESO;Hombre;13 Años;14
