DATOS_ID;CABECERA_ID;ACOD_CENTRO;ACOD_EXTENSION;NCURSO_ACADEMICO;ACOD_ENTIDAD;ACOD_CRUCE;ACOD_ENSENANZA;ACOD_RECOGIDA;ACARACT1;AVALOR1;ACARACT2;AVALOR2;ACARACT3;AVALOR3;ACARACT4;AVALOR4;ACARACT5;AVALOR5;NDATO;ACOD_ENTIDAD_1;ACOD_CARAC;ACOD_VALOR;AVALOR;ATOTAL;ACOD_VALOR_EST;DFECHA_CREACION;AUSU_CREACION;ADESCRIPCION_CORTA
5.634.517;417.745;22006061;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.634.518;417.745;22006061;00;2.019;SC;R01;000000000;01;01;4;;;;;;;;;1;SC;01;4;Apertura antes del horario lectivo;N;4;09/14/2001 00:00:00;0000;Apertura antes horario lectivo
5.703.512;423.068;22006083;00;2.019;SC;R01;000000000;01;01;3;;;;;;;;;1;SC;01;3;Transporte;N;3;09/14/2001 00:00:00;0000;Transporte
5.835.093;430.955;22006101;00;2.019;SC;R01;000000000;01;01;3;;;;;;;;;1;SC;01;3;Transporte;N;3;09/14/2001 00:00:00;0000;Transporte
5.754.158;426.193;22006113;00;2.019;SC;R01;000000000;01;01;3;;;;;;;;;1;SC;01;3;Transporte;N;3;09/14/2001 00:00:00;0000;Transporte
5.760.440;426.511;22006125;00;2.019;SC;R01;000000000;01;01;3;;;;;;;;;1;SC;01;3;Transporte;N;3;09/14/2001 00:00:00;0000;Transporte
5.627.562;417.354;22006137;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.627.560;417.354;22006137;00;2.019;SC;R01;000000000;01;01;3;;;;;;;;;1;SC;01;3;Transporte;N;3;09/14/2001 00:00:00;0000;Transporte
5.627.561;417.354;22006137;00;2.019;SC;R01;000000000;01;01;4;;;;;;;;;1;SC;01;4;Apertura antes del horario lectivo;N;4;09/14/2001 00:00:00;0000;Apertura antes horario lectivo
5.614.057;416.476;22010001;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.614.058;416.476;22010001;00;2.019;SC;R01;000000000;01;01;3;;;;;;;;;1;SC;01;3;Transporte;N;3;09/14/2001 00:00:00;0000;Transporte
5.447.546;406.450;22010013;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.447.547;406.450;22010013;00;2.019;SC;R01;000000000;01;01;4;;;;;;;;;1;SC;01;4;Apertura antes del horario lectivo;N;4;09/14/2001 00:00:00;0000;Apertura antes horario lectivo
5.649.209;418.692;22010050;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.432.682;403.712;22010062;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.432.681;403.712;22010062;00;2.019;SC;R01;000000000;01;01;4;;;;;;;;;1;SC;01;4;Apertura antes del horario lectivo;N;4;09/14/2001 00:00:00;0000;Apertura antes horario lectivo
5.672.009;420.497;22010074;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.672.010;420.497;22010074;00;2.019;SC;R01;000000000;01;01;4;;;;;;;;;1;SC;01;4;Apertura antes del horario lectivo;N;4;09/14/2001 00:00:00;0000;Apertura antes horario lectivo
5.439.850;405.275;22010104;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.438.115;404.834;22010116;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.438.116;404.834;22010116;00;2.019;SC;R01;000000000;01;01;4;;;;;;;;;1;SC;01;4;Apertura antes del horario lectivo;N;4;09/14/2001 00:00:00;0000;Apertura antes horario lectivo
5.447.425;406.429;22010128;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.447.426;406.429;22010128;00;2.019;SC;R01;000000000;01;01;4;;;;;;;;;1;SC;01;4;Apertura antes del horario lectivo;N;4;09/14/2001 00:00:00;0000;Apertura antes horario lectivo
5.657.098;419.374;22010189;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.490.159;409.289;22010190;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
5.490.160;409.289;22010190;00;2.019;SC;R01;000000000;01;01;4;;;;;;;;;1;SC;01;4;Apertura antes del horario lectivo;N;4;09/14/2001 00:00:00;0000;Apertura antes horario lectivo
5.441.304;405.629;22010207;00;2.019;SC;R01;000000000;01;01;1;;;;;;;;;1;SC;01;1;Comedor;N;1;09/14/2001 00:00:00;0000;Comedor
