CE;Naturaleza;Denom. Genérica Centro;Cód. RCD Centro;Centro;Domicilio;Cód. Postal;Provincia;Municipio;Nº Alumnos
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;22005479;LITERA;PZA. MAYOR nº 7;22550;Huesca;Tamarite de Litera;297
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;22005480;CINCA MEDIO;Pza. Sto. Domingo, 6;22400;Huesca;Monzón;880
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;22005492;JACETANIA;Cl Monte Perdido, 1;22700;Huesca;Jaca;536
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;22005509;RIBAGORZA;Plaza Compañía 1, 1ª planta;22430;Huesca;Graus;511
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;22005558;SOBRARBE;Cl. Samper, 1;22340;Huesca;Boltaña;307
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;22005561;ALTO GÁLLEGO;Cl. Pedro Sesé, 2;22600;Huesca;Sabiñánigo;561
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;22005583;MONEGROS;Cl. El Carmen, 13;22200;Huesca;Sariñena;349
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;22005960;SOMONTANO;AVDA. del Cinca s/n;22300;Huesca;Barbastro;557
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;22006034;BAJO CINCA;CL. AIRETAS, 17;22520;Huesca;Fraga;932
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;44004124;ISABEL DE SEGURA;Pza. Santa Teresa, 8;44003;Teruel;Teruel;926
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;44004574;RÍO GUADALOPE;CL. PILAR NARVIÓN, 2;44600;Teruel;Alcañiz;454
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;44004847;DE ALCORISA;Cl. Fuente Nueva, 24;44550;Teruel;Alcorisa;610
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;44004884;DE VALDERROBRES;La Paz 7, 2º;44580;Teruel;Valderrobres;859
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;44004926;DE RUBIELOS DE MORA;Cl. El Plano, 13;44415;Teruel;Rubielos de Mora;259
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;44004938;JILOCA;CL. ENMEDIO, 24 BAJO;44200;Teruel;Calamocha;337
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;44004951;DE CELLA;Cl. Sánchez Motos, 64;44370;Teruel;Cella;519
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;44005001;CUENCA MINERA;CL. MANUELA CIRUGEDA, EDIFICO ÍTACA;44700;Teruel;Montalbán;529
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;44005220;DE ANDORRA;CL. ESCUELAS, 10;44500;Teruel;Andorra;930
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;44010744;HERMANAS CATALÁN DE OCÓN;Avda. Aragón, número 2;44142;Teruel;Iglesuela del Cid (La);391
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;50009993;CONCEPCIÓN ARENAL;Cl. Santo Dominguito De Val, S/N;50001;Zaragoza;Zaragoza;1.151
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;50010818;MARCO VALERIO MARCIAL;P.º Ramón Y Cajal, 1;50300;Zaragoza;Calatayud;887
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;50010821;RICARDO SOLA ALMAU;Cl. Las Monjas, 27;50400;Zaragoza;Cariñena;853
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;50010831;JOAQUÍN COSTA;Cl. Guma, 35;50700;Zaragoza;Caspe;565
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;50010843;EXEA;PZA. DE GOYA, 7;50600;Zaragoza;Ejea de los Caballeros;1.434
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;50010855;EMILIO NAVARRO;Cl. Argentina, S/N;50180;Zaragoza;Utebo;416
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;50010867;MIGUEL HERNÁNDEZ;CL. SAN MIGUEL, 20;50620;Zaragoza;Zaragoza;126
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;50010879;MARGEN IZQUIERDA;Cl. Lourdes, 23;50014;Zaragoza;Zaragoza;819
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;50010880;JUAN JOSÉ LORENTE;Cl. Castellote, 3;50017;Zaragoza;Zaragoza;718
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;50011021;EL PÓSITO;Pza. Carmen Viejo, 15;50500;Zaragoza;Tarazona;684
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;50011434;DE FUENTES DE EBRO;P.º Del Justicia, S/N;50740;Zaragoza;Fuentes de Ebro;1.187
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;50011446;GÓMEZ LAFUENTE;Cl. Las Armas, 22;50003;Zaragoza;Zaragoza;442
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;50011458;CASA CANAL;P.º Cuellar, 6;50006;Zaragoza;Zaragoza;779
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;50011461;ALFINDÉN;Cl. Barrio Nuevo, 37;50171;Zaragoza;Puebla de Alfindén (La);766
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;50011471;DE LA ALMUNIA DE DOÑA GODINA;C/Mayor, 7;50100;Zaragoza;Almunia de Doña Godina (La);1.815
2019/2020;Centro público;Centro Público de Educación de Personas Adultas;50011483;DE DAROCA;PZA. COMUNIDAD DE DAROCA, 2;50360;Zaragoza;Daroca;505
2019/2020;Centro público;Instituto de Educación Secundaria;22000809;HERMANOS ARGENSOLA;Avda. Del Cinca, S/N;22300;Huesca;Barbastro;975
2019/2020;Centro público;Instituto de Educación Secundaria;22001917;RAMÓN J. SENDER;P.º De La Constitución, S/N;22520;Huesca;Fraga;695
2019/2020;Centro público;Instituto de Educación Secundaria;22002168;BALTASAR GRACIÁN;Partida Coscolla, S/N;22430;Huesca;Graus;676
2019/2020;Centro público;Instituto de Educación Secundaria;22002508;RAMÓN Y CAJAL;Avda. De La Paz, 9;22004;Huesca;Huesca;1.454
2019/2020;Centro público;Instituto de Educación Secundaria;22002511;PIRÁMIDE;CAMI. DE CUARTE, S/N;22004;Huesca;Huesca;1.646
2019/2020;Centro público;Instituto de Educación Secundaria;22002521;SIERRA DE GUARA;Cl. Ramón J. Sender, 4;22005;Huesca;Huesca;1.531
2019/2020;Centro público;Instituto de Educación Secundaria;22002727;DOMINGO MIRAL;Avda. Regimiento de Galicia, 6;22700;Huesca;Jaca;836
2019/2020;Centro público;Instituto de Educación Secundaria;22003288;JOSÉ MOR DE FUENTES;Avda. Del Pueyo, 89;22400;Huesca;Monzón;1.485
2019/2020;Centro público;Instituto de Educación Secundaria;22003902;SAN ALBERTO MAGNO;Paseo de la Corona nº 2;22600;Huesca;Sabiñánigo;626
2019/2020;Centro público;Instituto de Educación Secundaria;22004611;MARTÍNEZ VARGAS;Cami. De La Boquera, S/N;22300;Huesca;Barbastro;1.043
2019/2020;Centro público;Instituto de Educación Secundaria;22004773;LUCAS MALLADA;Cl. Torre Mendoza, 2;22005;Huesca;Huesca;803
2019/2020;Centro público;Instituto de Educación Secundaria;22004888;BAJO CINCA;Cl. Río Cinca, S/N;22520;Huesca;Fraga;839
2019/2020;Centro público;Instituto de Educación Secundaria;22004891;BIELLO ARAGÓN;Cl. Derechos Humanos, 5;22600;Huesca;Sabiñánigo;526
2019/2020;Centro público;Instituto de Educación Secundaria;22005030;MONEGROS-GASPAR LAX;Cami. De Las Torres, S/N;22200;Huesca;Sariñena;568
2019/2020;Centro público;Instituto de Educación Secundaria;22005388;SIERRA DE SAN QUÍLEZ;PZA. HIPÓLITO BITRIÁN, 1;22500;Huesca;Binéfar;964
2019/2020;Centro público;Instituto de Educación Secundaria;22005391;LA LLITERA;Camino La Colomina s/n;22550;Huesca;Tamarite de Litera;590
2019/2020;Centro público;Instituto de Educación Secundaria;22005406;SOBRARBE;Cl. Lucien Briet, S/N;22330;Huesca;Aínsa-Sobrarbe;552
2019/2020;Centro público;Instituto de Educación Secundaria;22005765;PIRINEOS;Cl. Ferrocarril, 17;22700;Huesca;Jaca;587
2019/2020;Centro público;Instituto de Educación Secundaria;22006095;DE CASTEJÓN DE SOS;PZA. COSTITUCIÓN, S/N;22466;Huesca;Castejón de Sos;318
2019/2020;Centro público;Instituto de Educación Secundaria;22006101;MONTES NEGROS;CL. ESCUELAS, S/N;22260;Huesca;Grañén;179
2019/2020;Centro público;Instituto de Educación Secundaria;22006113;CINCA-ALCANADRE;Avda. Autonomía De Aragón, S/N;22410;Huesca;Alcolea de Cinca;251
2019/2020;Centro público;Instituto de Educación Secundaria;44003211;SANTA EMERENCIANA;CL. Juez Villanueva, 1;44002;Teruel;Teruel;1.101
2019/2020;Centro público;Instituto de Educación Secundaria;44003223;SEGUNDO DE CHOMÓN;CL. PABLO MONGUIÓ, 48;44002;Teruel;Teruel;1.207
2019/2020;Centro público;Instituto de Educación Secundaria;44003235;VEGA DEL TURIA;Cl. Victor Pruneda, 1;44001;Teruel;Teruel;1.273
2019/2020;Centro público;Instituto de Educación Secundaria;44003247;FRANCÉS DE ARANDA;CL. ATARAZANAS, 1;44003;Teruel;Teruel;1.037
2019/2020;Centro público;Instituto de Educación Secundaria;44004045;VALLE DEL JILOCA;Avda. Zaragoza, 42;44200;Teruel;Calamocha;599
2019/2020;Centro público;Instituto de Educación Secundaria;44004239;PEDRO LAÍN ENTRALGO;Cl. Bajada De San Antonio, S/N;44530;Teruel;Híjar;301
2019/2020;Centro público;Instituto de Educación Secundaria;44004550;FERNANDO LÁZARO CARRETER;Cl. Miguel Servet, 3;44760;Teruel;Utrillas;552
2019/2020;Centro público;Instituto de Educación Secundaria;44004598;MATARRAÑA;Avda. Gral. Gutiérrez Mellado, S/N;44580;Teruel;Valderrobres;646
2019/2020;Centro público;Instituto de Educación Secundaria;44004653;PABLO SERRANO;CL. HERMANAS ZAPATA, 8;44500;Teruel;Andorra;892
2019/2020;Centro público;Instituto de Educación Secundaria;44004665;SALVADOR VICTORIA;Cl. María Moliner, 4;44300;Teruel;Monreal del Campo;388
2019/2020;Centro público;Instituto de Educación Secundaria;44005098;DAMIÁN FORMENT;CL. MIGUEL DE CERVANTES, 1;44550;Teruel;Alcorisa;325
2019/2020;Centro público;Instituto de Educación Secundaria;44005104;VALLE DEL GUADALOPE;P.º Alcañiz, 27;44570;Teruel;Calanda;362
2019/2020;Centro público;Instituto de Educación Secundaria;44005116;GÚDAR-JAVALAMBRE;Avda. Ibáñez Martín, S/N;44400;Teruel;Mora de Rubielos;322
2019/2020;Centro público;Instituto de Educación Secundaria;44005128;SIERRA PALOMERA;Cl. Partida El Carro, S/N;44370;Teruel;Cella;283
2019/2020;Centro público;Instituto de Educación Secundaria;44005177;BAJO ARAGÓN;Cl. José Pardo Sastrón, S/N;44600;Teruel;Alcañiz;1.917
2019/2020;Centro público;Instituto de Educación Secundaria;44005207;LOBETANO;CAMI. DE GEA, 19;44100;Teruel;Albarracín;92
2019/2020;Centro público;Instituto de Educación Secundaria;50000163;CONDE ARANDA;AVDA. DE LA PORTALADA, 22;50630;Zaragoza;Alagón;976
2019/2020;Centro público;Instituto de Educación Secundaria;50000874;JUAN DE LANUZA;Cl. Capuchinos, 1;50540;Zaragoza;Borja;847
2019/2020;Centro público;Instituto de Educación Secundaria;50001167;LEONARDO DE CHABACIER;P.º San Nicolás De Francia, 10;50300;Zaragoza;Calatayud;929
2019/2020;Centro público;Instituto de Educación Secundaria;50001179;EMILIO JIMENO;Cl. Río Perejiles, 2;50300;Zaragoza;Calatayud;1.226
2019/2020;Centro público;Instituto de Educación Secundaria;50001349;JOAQUÍN COSTA;Avda. Del Ejército, S/N;50400;Zaragoza;Cariñena;731
2019/2020;Centro público;Instituto de Educación Secundaria;50001830;REYES CATÓLICOS;CL. MARIANO ALASTUEY, 26;50600;Zaragoza;Ejea de los Caballeros;926
2019/2020;Centro público;Instituto de Educación Secundaria;50005793;ÍTACA;Avda de los Estudiantes, 1;50058;Zaragoza;Zaragoza;2.021
2019/2020;Centro público;Instituto de Educación Secundaria;50006414;VIRGEN DEL PILAR;P.º Reyes De Aragón, 20;50012;Zaragoza;Zaragoza;1.454
2019/2020;Centro público;Instituto de Educación Secundaria;50008125;CORONA DE ARAGÓN;Cl. Corona De Aragón, 35;50009;Zaragoza;Zaragoza;962
2019/2020;Centro público;Instituto de Educación Secundaria;50008174;MIGUEL SERVET;Pº RUISEÑORES, 49-51;50006;Zaragoza;Zaragoza;1.484
2019/2020;Centro público;Instituto de Educación Secundaria;50008186;RAMÓN PIGNATELLI;Cl. Jarque De Moncayo, 17;50012;Zaragoza;Zaragoza;939
2019/2020;Centro público;Instituto de Educación Secundaria;50008198;GOYA;Avda. Goya, 45;50006;Zaragoza;Zaragoza;2.031
2019/2020;Centro público;Instituto de Educación Secundaria;50008277;JERÓNIMO ZURITA;Avda. Juan Carlos I, 11;50009;Zaragoza;Zaragoza;1.144
2019/2020;Centro público;Instituto de Educación Secundaria;50008289;PEDRO DE LUNA;Cl. Universidad, 2;50001;Zaragoza;Zaragoza;1.702
2019/2020;Centro público;Instituto de Educación Secundaria;50008459;EL PORTILLO;Cl. Juan Xxiii, 3;50010;Zaragoza;Zaragoza;891
2019/2020;Centro público;Instituto de Educación Secundaria;50008460;LUIS BUÑUEL;CL. Sierra Vicor, 20;50003;Zaragoza;Zaragoza;1.716
2019/2020;Centro público;Instituto de Educación Secundaria;50008642;MARÍA MOLINER;Cl. San Vicente Ferrer, 6;50011;Zaragoza;Zaragoza;595
2019/2020;Centro público;Instituto de Educación Secundaria;50008770;RÍO ARBA;Avda. Del Pilar, S/N;50660;Zaragoza;Tauste;756
2019/2020;Centro público;Instituto de Educación Secundaria;50009129;CINCO VILLAS;P.º DE LA CONSTITUCIÓN, 122-124-126;50600;Zaragoza;Ejea de los Caballeros;867
2019/2020;Centro público;Instituto de Educación Secundaria;50009166;JOSÉ MANUEL BLECUA;Cl. Cuarta Avenida, 13;50007;Zaragoza;Zaragoza;2.054
2019/2020;Centro público;Instituto de Educación Secundaria;50009178;PABLO GARGALLO;Cami. Miraflores, 13;50007;Zaragoza;Zaragoza;882
2019/2020;Centro público;Instituto de Educación Secundaria;50009211;FÉLIX DE AZARA;CL. RAMIRO DE ARAGÓN, 15;50017;Zaragoza;Zaragoza;1.316
2019/2020;Centro público;Instituto de Educación Secundaria;50009348;AVEMPACE;Cl. Islas Canarias, 5;50015;Zaragoza;Zaragoza;1.471
2019/2020;Centro público;Instituto de Educación Secundaria;50009543;BENJAMÍN JARNÉS;Cl. Agustina De Aragón, S/N;50740;Zaragoza;Fuentes de Ebro;1.210
2019/2020;Centro público;Instituto de Educación Secundaria;50009567;RÍO GÁLLEGO;Cl. Río Piedra, 4;50014;Zaragoza;Zaragoza;1.619
2019/2020;Centro público;Instituto de Educación Secundaria;50009592;GALLICUM;Cami. De San Juan, S/N;50800;Zaragoza;Zuera;853
2019/2020;Centro público;Instituto de Educación Secundaria;50010041;PEDRO CERRADA;Cl. Las Fuentes, 14;50180;Zaragoza;Utebo;1.318
2019/2020;Centro público;Instituto de Educación Secundaria;50010144;PABLO SERRANO;CL. BATALLA DE LEPANTO, 30;50002;Zaragoza;Zaragoza;1.377
2019/2020;Centro público;Instituto de Educación Secundaria;50010156;MIRALBUENO;Cl. Vistabella, 8;50011;Zaragoza;Zaragoza;1.668
2019/2020;Centro público;Instituto de Educación Secundaria;50010284;COMUNIDAD DE DAROCA;Cl. Barranco De Luzbel, S/N;50360;Zaragoza;Daroca;221
2019/2020;Centro público;Instituto de Educación Secundaria;50010302;FRANCISCO GRANDE COVIÁN;Cl. Tomás Higuera, 60;50002;Zaragoza;Zaragoza;1.292
2019/2020;Centro público;Instituto de Educación Secundaria;50010491;SANTIAGO HERNÁNDEZ;Avda. De Navarra, 141;50017;Zaragoza;Zaragoza;1.590
2019/2020;Centro público;Instituto de Educación Secundaria;50010511;TIEMPOS MODERNOS;CL. CINEASTA SEGUNDO DE CHOMÓN, 4;50018;Zaragoza;Zaragoza;1.693
2019/2020;Centro público;Instituto de Educación Secundaria;50010533;CABAÑAS;Cl. Carrera De La Hilera, S/N;50100;Zaragoza;Almunia de Doña Godina (La);1.055
2019/2020;Centro público;Instituto de Educación Secundaria;50010727;ELAIOS;Andador Pilar Cuartero Molinero, 3;50018;Zaragoza;Zaragoza;1.174
2019/2020;Centro público;Instituto de Educación Secundaria;50010739;PILAR LORENGAR;Cl. Miguel Asso, 5;50014;Zaragoza;Zaragoza;1.578
2019/2020;Centro público;Instituto de Educación Secundaria;50010946;ANDALÁN;Cl. París, 1;50003;Zaragoza;Zaragoza;1.079
2019/2020;Centro público;Instituto de Educación Secundaria;50010958;MIGUEL DE MOLINOS;Cl. Gabriel García Márquez, 20;50018;Zaragoza;Zaragoza;852
2019/2020;Centro público;Instituto de Educación Secundaria;50010961;SIERRA DE LA VIRGEN;Cl. San Ildefonso, S/N;50250;Zaragoza;Illueca;530
2019/2020;Centro público;Instituto de Educación Secundaria;50010995;MEDINA ALBAIDA;Cl. José Luis Pomarón, 4;50008;Zaragoza;Zaragoza;1.081
2019/2020;Centro público;Instituto de Educación Secundaria;50011008;RODANAS;Avda. De La Estación, 1;50290;Zaragoza;Épila;695
2019/2020;Centro público;Instituto de Educación Secundaria;50011069;ÁNGEL SANZ BRIZ;Avenida de la Constitución, 31;50620;Zaragoza;Zaragoza;894
2019/2020;Centro público;Instituto de Educación Secundaria;50011070;SIGLO XXI;Avda. Virgen Del Pilar, S/N;50690;Zaragoza;Pedrola;756
2019/2020;Centro público;Instituto de Educación Secundaria;50011252;ZAURÍN;P.º Manubles, 6;50200;Zaragoza;Ateca;598
2019/2020;Centro público;Instituto de Educación Secundaria;50011513;TUBALCAÍN;Avda. La Paz, S/N;50500;Zaragoza;Tarazona;1.054
2019/2020;Centro público;Instituto de Educación Secundaria;50011525;MIGUEL CATALÁN;P.º Isabel La Católica, 3;50009;Zaragoza;Zaragoza;2.369
2019/2020;Centro público;Instituto de Educación Secundaria;50011550;RAMÓN Y CAJAL;CL. RAMÓN PIGNATELLI, 102;50004;Zaragoza;Zaragoza;723
2019/2020;Centro público;Instituto de Educación Secundaria;50011665;BAIX MATARRANYA;Cl. Zaragoza, 50;50710;Zaragoza;Maella;187
2019/2020;Centro público;Instituto de Educación Secundaria;50011677;VALLE DEL HUECHA;Avda. De La Libertad, 25;50550;Zaragoza;Mallén;238
2019/2020;Centro público;Instituto de Educación Secundaria;50011689;JOAQUÍN TORRES;Ctra. De Fraga, S/N;50170;Zaragoza;Mequinenza;132
2019/2020;Centro público;Instituto de Educación Secundaria;50011720;SABINA ALBAR;Cl. La Luna, S/N;50177;Zaragoza;Bujaraloz;135
2019/2020;Centro público;Instituto de Educación Secundaria;50011732;MAR DE ARAGÓN;CL. JOSÉ MARÍA ALBAREDA, S/N;50700;Zaragoza;Caspe;969
2019/2020;Centro público;Instituto de Educación Secundaria;50017886;LA AZUCARERA;CL. Matilde Sangüesa, 53;50015;Zaragoza;Zaragoza;1.484
2019/2020;Centro público;Instituto de Educación Secundaria;50018416;CLARA CAMPOAMOR RODRÍGUEZ;CL. Eugenio Lucas s/n;50018;Zaragoza;Zaragoza;1.520
2019/2020;Centro público;Instituto de Educación Secundaria;50018428;TORRE DE LOS ESPEJOS;Avda. Puerto Rico, 9-11;50180;Zaragoza;Utebo;1.515
2019/2020;Centro público;Instituto de Educación Secundaria;50018842;DE LA PUEBLA DE ALFINDÉN;Avda. de Pastriz 2;50171;Zaragoza;Puebla de Alfindén (La);1.124
2019/2020;Centro público;Instituto de Educación Secundaria;50019020;VALDESPARTERA;CL. Isla del Tesoro, 14;50019;Zaragoza;Zaragoza;1.359
2019/2020;Centro público;Instituto de Educación Secundaria;50019101;VILLANUEVA DE GÁLLEGO;Manuel de Falla, s/n;50830;Zaragoza;Villanueva de Gállego;514
2019/2020;Centro público;Instituto de Educación Secundaria;50019354;DE LA MUELA;Paseo de Nuestra Señora del Carmen, s/n;50196;Zaragoza;Muela (La);399
2019/2020;Centro público;Instituto de Educación Secundaria;50019500;EL PICARRAL;Cl. Teniente Ortiz de Zarate, 26;50015;Zaragoza;Zaragoza;833
2019/2020;Centro público;Instituto de Educación Secundaria;50019676;MARTINA BESCÓS;C/LOARRE, S/N.;50410;Zaragoza;Cuarte de Huerva;264
2019/2020;Centro público;Sección de Instituto de Educación Secundaria;22006083;PIRÁMIDE;CL. Miguel Monserrat s/n;22270;Huesca;Almudévar;142
2019/2020;Centro público;Sección de Instituto de Educación Secundaria;22006125;BIELLO ARAGÓN;Pza. de la Constitución s/n;22630;Huesca;Biescas;90
2019/2020;Centro público;Sección de Instituto de Educación Secundaria;44005190;SEGUNDO DE CHOMÓN;Avda. Maestrazgo, 5;44140;Teruel;Cantavieja;81
2019/2020;Centro público;Sección de Instituto de Educación Secundaria;50011690;REYES CATÓLICOS;AVDA. PIRINEOS, S/N;50670;Zaragoza;Sádaba;110
2019/2020;Centro público;Sección de Instituto de Educación Secundaria;50011707;BENJAMÍN JARNÉS;Cl. Luis Gracia, S/N;50780;Zaragoza;Sástago;70
2019/2020;Centro público;Sección de Instituto de Educación Secundaria;50011719;BENJAMÍN JARNÉS;Ronda Zaragoza, S/N;50130;Zaragoza;Belchite;168
2019/2020;Centro público;Escuela de Capacitación Agraria;22002740;INSTITUTO DE FORMACIÓN AGROAMBIENTAL;CTRA. JACA-PAMPLONA, KM. 7;22700;Huesca;Jaca;81
2019/2020;Centro público;Centro Público Integrado;22000585;RAMÓN Y CAJAL;CL. PROGRESO, 4;22800;Huesca;Ayerbe;254
2019/2020;Centro público;Centro Público Integrado;22010980;BENABARRE;Cl. San José de Calasanz, 13;22580;Huesca;Benabarre;111
2019/2020;Centro público;Centro Público Integrado;50002329;MARÍA DOMÍNGUEZ;Cl. Miguel Servet, S/N;50650;Zaragoza;Gallur;205
2019/2020;Centro público;Centro Público Integrado;50006037;LA JOTA;Cl. Balbino Orensanz, 3-5;50014;Zaragoza;Zaragoza;759
2019/2020;Centro público;Centro Público Integrado;50011288;CASTILLO QADRIT;CL. Miguel Servet,3;50420;Zaragoza;Cadrete;434
2019/2020;Centro público;Centro Público Integrado;50017072;PARQUE GOYA;CL. EL COLOSO, 5;50015;Zaragoza;Zaragoza;712
2019/2020;Centro público;Centro Público Integrado;50017874;EL ESPARTIDERO;CL. DIECISÉIS DE JULIO, 46 (Bº STA.ISABEL);50016;Zaragoza;Zaragoza;767
2019/2020;Centro público;Centro Público Integrado;50017904;GALO PONTE;CL. Huesca, 33;50840;Zaragoza;San Mateo de Gállego;354
2019/2020;Centro público;Centro Público Integrado;50018261;RÍO SENA;CL. ENRIQUE VAL, 20;50011;Zaragoza;Zaragoza;839
2019/2020;Centro público;Centro Público Integrado;50018271;ROSALES DEL CANAL;CL.San Juan Bautista de la Salle, 21;50012;Zaragoza;Zaragoza;1.012
2019/2020;Centro público;Centro Público Integrado;50019019;JULIO VERNE;CL. Iñigo Manuel Marín Sancho nº 20;50011;Zaragoza;Zaragoza;589
2019/2020;Centro público;Centro Público Integrado;50019081;SAN JORGE;CL. El Tambor de Hojalata, 6;50019;Zaragoza;Zaragoza;715
2019/2020;Centro público;Centro Público Integrado;50019251;VAL DE LA ATALAYA;Cl. Río Jalón, S/N;50430;Zaragoza;María de Huerva;649
2019/2020;Centro público;Centro Público Integrado;50019287;ZARAGOZA SUR;Antonio Vivaldi, 7;50012;Zaragoza;Zaragoza;466
2019/2020;Centro público;Centro Público Integrado;50019548;ARCOSUR;Av. del Cierzo, s/n;50022;Zaragoza;Zaragoza;528
2019/2020;Centro público;Centro Público Integrado;50019551;VALDESPARTERA III;C/ El Jeque Blanco;50019;Zaragoza;Zaragoza;495
2019/2020;Centro público;Centro Público Integrado;50019597;PARQUE VENECIA;Avda. de la Policía Local, s/n;50021;Zaragoza;Zaragoza;470
2019/2020;Centro público;Centro Público Integrado;50019615;SOLEDAD PUÉRTOLAS;C/ La Isla del Tesoro, s/n;50019;Zaragoza;Zaragoza;298
2019/2020;Centro público;Escuela Oficial de Idiomas;22005212;DE HUESCA;P.º Lucas Mallada, S/N;22006;Huesca;Huesca;1.138
2019/2020;Centro público;Escuela Oficial de Idiomas;22005595;IGNACIO LUZÁN;Avda. De Fonz, 1;22400;Huesca;Monzón;355
2019/2020;Centro público;Escuela Oficial de Idiomas;22005662;DE SABIÑÁNIGO;CL. INSTITUTO LABORAL, 9;22600;Huesca;Sabiñánigo;219
2019/2020;Centro público;Escuela Oficial de Idiomas;22010037;RÍO VERO;Cami. De La Boquera, S/N;22300;Huesca;Barbastro;256
2019/2020;Centro público;Escuela Oficial de Idiomas;44004318;DE TERUEL;Juez Villanueva, 1;44002;Teruel;Teruel;847
2019/2020;Centro público;Escuela Oficial de Idiomas;44004446;DE ALCAÑIZ;Cl. José Pardo Sastrón, 1;44600;Teruel;Alcañiz;439
2019/2020;Centro público;Escuela Oficial de Idiomas;50009762;Nº 1;Cl. Domingo Miral, 23;50009;Zaragoza;Zaragoza;5.918
2019/2020;Centro público;Escuela Oficial de Idiomas;50010740;FERNANDO LÁZARO CARRETER;Cl. Cineasta Segundo De Chomón, S/N;50018;Zaragoza;Zaragoza;2.111
2019/2020;Centro público;Escuela Oficial de Idiomas;50010892;JOHAN FERRÁNDEZ DHEREDIA;P.º Ramón Y Cajal, 1;50300;Zaragoza;Calatayud;380
2019/2020;Centro público;Escuela Oficial de Idiomas;50010909;DE EJEA DE LOS CABALLEROS;Pza. De Goya, S/N;50600;Zaragoza;Ejea de los Caballeros;208
2019/2020;Centro público;Escuela Oficial de Idiomas;50011033;DE UTEBO;P.º Berbegal, 22;50180;Zaragoza;Utebo;840
2019/2020;Centro público;Escuela Oficial de Idiomas;50011045;DE TARAZONA;Cl. Iglesias, 1;50500;Zaragoza;Tarazona;272
2019/2020;Centro público;Extensión de Escuela Oficial de Idiomas;22010025;IGNACIO LUZÁN;P.º De La Constitución, S/N;22520;Huesca;Fraga;76
2019/2020;Centro público;Extensión de Escuela Oficial de Idiomas;22010049;DE SABIÑÁNIGO;Avda. Regimiento Galicia, S/N;22700;Huesca;Jaca;104
2019/2020;Centro público;Extensión de Escuela Oficial de Idiomas;22010852;IGNACIO LUZÁN;Plza. Hipólito Bitrián, 1;22500;Huesca;Binéfar;81
2019/2020;Centro público;Extensión de Escuela Oficial de Idiomas;22010918;RÍO VERO;CL. LUCIEN BRIET, S/N;22330;Huesca;Aínsa-Sobrarbe;75
2019/2020;Centro público;Extensión de Escuela Oficial de Idiomas;22010979;RÍO VERO;Avda. de Luchón, s/n Benasque;22440;Huesca;Benasque;31
2019/2020;Centro público;Extensión de Escuela Oficial de Idiomas;44010021;DE TERUEL;Cl. Gonzalo De Liria, 2;44300;Teruel;Monreal del Campo;54
2019/2020;Centro público;Extensión de Escuela Oficial de Idiomas;44010033;DE TERUEL;Cl. Miguel Servet, 4;44760;Teruel;Utrillas;68
2019/2020;Centro público;Extensión de Escuela Oficial de Idiomas;44010045;DE TERUEL;Avda. Zaragoza, 42;44200;Teruel;Calamocha;59
2019/2020;Centro público;Extensión de Escuela Oficial de Idiomas;44010732;DE ALCAÑIZ;PS. ALCAÑIZ, 27;44570;Teruel;Calanda;39
2019/2020;Centro público;Extensión de Escuela Oficial de Idiomas;44010793;ALCAÑIZ;C/ Miguel de Cervantes;44550;Teruel;Alcorisa;51
2019/2020;Centro público;Extensión de Escuela Oficial de Idiomas;44010801;ALCAÑIZ;C/ Hermanos Zapata, nº 8;44500;Teruel;Andorra;31
