ACOD_CENTRO;SUM(NDATO)
50010193;132
50010247;4
50010272;6
50010284;13
50010296;11
50010302;153
50010314;145
50010326;9
50010387;19
50010399;63
50010478;220
50010481;53
50010491;238
50010511;71
50010533;154
50010727;48
50010739;64
50010740;22
50010764;242
50010818;125
50010821;110
50010831;276
50010843;276
50010855;106
50010867;65
50010879;280
50010880;184
50010892;14
50010909;7
50010910;1
50010922;3
50010946;99
50010958;38
50010961;34
50010995;95
50011008;59
50011021;125
50011033;17
50011045;10
50011069;75
50011070;56
50011100;8
50011124;40
50011136;16
50011148;6
50011151;36
50011161;4
50011173;9
50011185;12
50011197;2
50011203;26
50011215;4
50011227;6
50011239;20
50011240;30
50011252;35
50011264;8
50011288;44
50011291;9
50011306;74
50011318;51
50011321;18
50011331;28
50011343;33
50011355;21
50011367;9
50011379;22
50011380;34
50011392;11
50011409;16
50011410;21
50011422;7
50011434;179
50011446;195
50011458;328
50011461;147
50011471;323
50011483;129
50011495;8
50011501;9
50011513;67
50011525;119
50011537;12
50011549;14
50011550;134
50011562;153
50011574;26
50011598;11
50011653;15
50011665;20
50011677;30
50011689;6
50011690;4
50011707;8
50011719;18
50011720;8
50011732;163
50011781;23
50011793;8
50011801;60
50011847;32
50011872;10
50017023;24
50017072;48
50017084;5
50017096;7
50017102;10
50017114;4
50017141;4
50017163;32
50017175;26
50017205;1
50017217;5
50017242;39
50017278;1
50017281;9
50017308;1
50017311;9
50017369;6
50017448;107
50017451;48
50017461;2
50017503;1
50017527;21
50017539;9
50017540;34
50017552;13
50017606;4
50017631;6
50017655;8
50017667;11
50017679;28
50017680;45
50017692;2
50017710;12
50017734;14
50017746;14
50017758;2
50017761;8
50017862;31
50017874;18
50017886;89
50017898;32
50017904;43
50017916;42
50017931;1
50017941;6
50017953;1
50017990;1
50018039;3
50018052;3
50018091;3
50018118;1
50018121;42
50018131;1
50018143;51
50018179;3
50018192;25
50018210;11
50018246;22
50018258;56
50018261;36
50018271;32
50018283;75
50018295;1
50018325;9
50018337;25
50018349;12
50018362;10
50018374;4
50018386;3
50018404;2
50018416;22
50018428;68
50018453;2
50018489;1
50018507;1
50018556;1
50018581;3
50018593;2
50018601;3
50018647;1
50018659;2
50018672;2
50018726;1
50018775;1
50018787;4
50018799;7
50018817;29
50018829;151
50018830;23
50018842;40
50018866;3
50018878;15
50018881;24
50018908;1
50018957;1
50019019;112
50019020;25
50019081;11
50019093;6
50019101;23
50019135;37
50019147;9
50019238;10
50019251;30
50019275;3
50019287;10
50019299;52
50019305;3
50019317;171
50019354;33
50019366;1
50019378;15
50019408;10
50019411;1
50019470;1
50019482;8
50019500;44
50019548;13
50019551;5
50019561;1
50019573;9
50019597;4
50019603;1
50019627;4
50019640;22
50019664;4
50019676;26
50019731;15
50019743;2
50019809;5
50019846;1
50600026;47
50600051;41
50600075;24
50600099;2
50600105;33
50600117;7
50600130;1
50600142;3
50600154;14
50600166;1
50600336;2
50600361;1
50601225;13
50601547;7
